# source, target, id, weight
0,1,2456,1
0,2,2457,1
0,3,2458,1
0,4,2459,1
0,5,2460,1
0,6,2461,1
0,7,2462,1
0,8,2463,1
0,9,2464,1
0,10,2465,2
0,11,2466,2
0,9,2467,2
0,12,2468,-1
0,13,2469,-1
0,14,2470,-1
0,15,2471,-1
0,16,2472,-1
0,17,2473,-1
0,18,2474,-1
0,19,2475,-1
0,20,2476,-1
0,21,2477,-1
0,22,2478,-1
0,23,2479,-1
0,24,2480,-1
1,15,2536,1
1,3,2537,1
1,44,2538,1
1,51,2539,1
1,53,2540,1
1,26,2541,1
1,54,2542,1
1,55,2543,1
1,56,2544,1
1,57,2545,1
1,58,2546,1
1,37,2547,1
1,59,2548,1
1,60,2549,1
1,61,2550,1
1,62,2551,1
1,28,2552,1
1,39,2553,1
1,20,2554,1
1,63,2555,1
1,34,2556,1
1,40,2557,1
1,64,2558,1
1,65,2559,1
1,48,2560,1
1,5,2561,1
1,31,2562,1
1,49,2563,1
1,43,2564,1
1,32,2565,1
1,13,2566,1
1,22,2567,1
1,24,2568,1
1,8,2569,1
1,66,2570,1
1,9,2571,1
1,2,2572,1
1,33,2573,1
1,67,2574,1
1,29,2575,1
1,30,2576,1
1,68,2577,1
1,69,2578,1
1,70,2579,1
1,71,2580,1
1,72,2581,1
1,47,2582,1
1,0,2583,1
1,73,2584,1
1,74,2585,1
1,75,2586,1
1,76,2587,1
1,4,2588,1
1,6,2589,1
1,77,2590,1
1,50,2591,1
1,35,2592,1
1,52,2593,1
1,38,2594,1
1,78,2595,1
1,79,2596,1
1,27,2597,1
1,80,2598,1
1,10,2599,1
1,45,2600,1
1,81,2601,1
1,82,2602,1
1,23,2603,1
1,83,2604,1
1,48,2605,2
1,11,2606,2
1,84,2607,2
1,85,2608,2
1,86,2609,2
1,65,2610,2
1,9,2611,2
2,24,3845,1
2,13,3846,1
2,14,3847,1
2,40,3848,1
2,17,3849,1
2,6,3850,1
2,39,3851,1
2,121,3852,1
2,20,3853,1
2,22,3854,1
2,23,3855,1
2,9,3856,1
2,9,3857,2
2,19,3858,2
2,43,3859,2
2,21,3860,2
2,12,3861,2
2,89,3862,-1
2,42,3863,-1
3,24,2503,1
3,13,2504,1
