# index, label, _pos
0,"RADZIHOVSKY, L","array([  2.15910814, -34.8261178 ])"
1,"FRISCHAT, SD","array([  45.89499666, -295.11245777])"
2,"KUHN, R","array([  47.16587639, -293.49424253])"
3,"BEENAKKER, CWJ","array([ 43.69916587, -36.42049878])"
4,"MELSEN, JA","array([ 48.01931569, -26.81243596])"
5,"BROUWER, PW","array([ 39.9717756 , -38.08967425])"
6,"JONG, MJMD","array([ 48.37465172, -28.67997116])"
7,"CIRILLO, ENM","array([-11.60978689, -11.25200023])"
8,"GONNELLA, G","array([-10.37506651, -16.21117548])"
9,"XIAN, Y","array([-109.77265066,  151.11069557])"
10,"HALDANE, FDM","array([ 28.7988087 , -44.98984169])"
11,"BASHKIN, E","array([76.96495017, 23.01364137])"
12,"PAVLOFF, N","array([74.16041002, 17.85387873])"
13,"TREINER, J","array([78.16288229, 22.11661777])"
14,"EDER, R","array([ 26.24437922, -62.33974928])"
15,"OHTA, Y","array([ 28.14530925, -63.66879851])"
16,"MAEKAWA, S","array([ 23.65655778, -69.89996009])"
17,"READ, N","array([ 25.2761569 , -43.36328474])"
18,"ZHU, X","array([ 42.20777421, -57.11806922])"
19,"LITTLEWOOD, PB","array([ 35.84639287, -46.80803854])"
20,"HYBERTSEN, MS","array([ 33.98573695, -56.3507595 ])"
21,"RICE, TM","array([ 25.66351663, -63.88606271])"
22,"FUJITA, A","array([ 39.24554693, -23.15705127])"
23,"HIKAMI, S","array([ 35.36427683, -31.25402955])"
24,"NAKAMURA, H","array([ 15.06898778, -73.85977704])"
25,"HATANO, N","array([ -1.65979727, -58.73491964])"
26,"TAKAHASHI, M","array([  3.08870381, -63.92826867])"
27,"ZIRNBAUER, MR","array([ 23.53622953, -38.24237425])"
28,"VOROPAEV, S","array([  55.28336594, -273.94467416])"
29,"XIANG, T","array([ 25.33988534, -64.38117442])"
30,"WHEATLEY, JM","array([ 33.89948032, -68.56053382])"
31,"ROJO, AG","array([ 42.20130465, -33.28774525])"
32,"BALSEIRO, CA","array([ 32.204768  , -50.62048541])"
33,"MIKHEEV, L","array([  16.17640394, -268.56338446])"
34,"YANG, SRE","array([ 41.75385011, -56.53136407])"
35,"MACDONALD, AH","array([ 41.50896982, -47.5825976 ])"
36,"KRAPIVSKY, PL","array([ 10.2718412 , -35.66676613])"
37,"ESIPOV, SE","array([23.56874171,  6.8524681 ])"
38,"ZEE, A","array([ 27.58475477, -38.68236617])"
39,"KISHINE, J","array([  6.41493015, -60.42374801])"
40,"NAMAIZAWA, H","array([ -2.96098573, -62.06002563])"
41,"CLARKE, P","array([ 37.90472581, -45.6464009 ])"
42,"GLAZMAN, LI","array([ 40.06792101, -45.11415305])"
43,"MATVEEV, KA","array([ 32.96938565, -46.40110532])"
44,"HINDMARSH, M","array([19.91955674,  8.82597072])"
45,"RANIERI, P","array([ -1.47070669, -29.64623874])"
46,"KONIG, J","array([ 40.46024969, -42.14988877])"
