party_2019,party_2023,percent
PSL,TD,57.8
PSL,PiS,14.1
PSL,KO,14.1
PSL,Lewica,7
PSL,Bezpartyjni Samorządowcy,3.3
PSL,Konfederacja,2.7
PSL,PJJ,1
PSL,Inne,0
PiS,PiS,87.7
PiS,TD,3.5
PiS,Konfederacja,2.8
PiS,KO,2
PiS,Bezpartyjni Samorządowcy,1.4
PiS,PJJ,1.4
PiS,Lewica,1.1
PiS,Inne ,0.1
SLD,Lewica,57.3
SLD,KO,23.1
SLD,TD,14.1
SLD,PiS,2.3
SLD,Bezpartyjni Samorządowcy,1.7
SLD,Konfederacja,1
SLD,PJJ,1
SLD,Inne,0.4
Konfederacja,Konfederacja,63.3
Konfederacja,TD,11.1
Konfederacja,KO,8.9
Konfederacja,PiS,6.8
Konfederacja,Bezpartyjni Samorządowcy,3.4
Konfederacja,PJJ,3.4
Konfederacja,Lewica,3
Konfederacja,Inne,0.4
KO,KO,73.6
KO,TD,16.1
KO,Lewica,7.2
KO,Konfederacja,1.1
KO,PiS,1
KO,Bezpartyjni Samorządowcy,0.7
KO,PJJ,0.2
KO,Inne,0.1
Inne,TD,36.2
Inne,KO,19
Inne,Lewica,17.8
Inne,Bezpartyjni Samorządowcy,7.7
Inne,PiS,6.7
Inne,Konfederacja,6.6
Inne,PJJ,4.5
Inne,Inne,1.5
Nie głosowałem,KO,30
Nie głosowałem,TD,19.3
Nie głosowałem,Lewica,15
Nie głosowałem,PiS,15
Nie głosowałem,Konfederacja,14.3
Nie głosowałem,Bezpartyjni Samorządowcy,4.2
Nie głosowałem,PJJ,1.7
Nie głosowałem,Inne,0.5
Nie pamiętam,KO,26.1
Nie pamiętam,TD,24.6
Nie pamiętam,PiS,20.9
Nie pamiętam,Lewica,12.4
Nie pamiętam,Konfederacja,8.8
Nie pamiętam,Bezpartyjni Samorządowcy,4.3
Nie pamiętam,PJJ,2.3
Nie pamiętam,Inne,0.6
