IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,NRU,Nauru,Year,2019,true,,,,,,,,,,,,,0.14,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2019,true,,,,,,,,,,,,,0.11,,,,,,0.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2019,true,,,,,,,,,,,,,0.37,,,,,,0.4,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2019,true,,,,,,,,,,,,,0.47,,,,,,0.5,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2019,true,,,,,,,,,,,,,0.77,,,,,,0.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2019,true,,,,,,,,,,,,,0.92,,,,,,0.9,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,PER,Peru,Year,2019,true,,,,,,,,,,,,,1010,,,,,,1 009.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,CHL,Chile,Year,2019,true,,,,,,,,,,,,,1013,,,,,,1 013.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2019,true,,,,,,,,,,,,,1017,,,,,,1 016.7,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2019,true,,,,,,,,,,,,,1087,,,,,,1 087.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,PRT,Portugal,Year,2019,true,,,,,,,,,,,,,1133,,,,,,1 132.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,COL,Colombia,Year,2019,true,,,,,,,,,,,,,1142,,,,,,1 142.4,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,ROU,Romania,Year,2019,true,,,,,,,,,,,,,1150,,,,,,1 149.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,CZE,Czechia,Year,2019,true,,,,,,,,,,,,,1223,,,,,,1 222.7,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,ZAF,South Africa,Year,2019,true,,,,,,,,,,,,,1228,,,,,,1 228.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2019,true,,,,,,,,,,,,,1256,,,,,,1 256.4,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,ISR,Israel,Year,2019,true,,,,,,,,,,,,,1313,,,,,,1 312.7,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,FIN,Finland,Year,2019,true,,,,,,,,,,,,,1384,,,,,,1 384.4,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,IRL,Ireland,Year,2019,true,,,,,,,,,,,,,1444,,,,,,1 444.4,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,ARG,Argentina,Year,2019,true,,,,,,,,,,,,,1460,,,,,,1 459.9,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,DNK,Denmark,Year,2019,true,,,,,,,,,,,,,1680,,,,,,1 680.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2019,true,,,,,,,,,,,,,1799,,,,,,1 798.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2019,true,,,,,,,,,,,,,1812,,,,,,1 811.9,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,NOR,Norway,Year,2019,true,,,,,,,,,,,,,1828,,,,,,1 828.3,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2019,true,,,,,,,,,,,,,1.05,,,,,,1.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2019,true,,,,,,,,,,,,,1.15,,,,,,1.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2019,true,,,,,,,,,,,,,1.68,,,,,,1.7,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2019,true,,,,,,,,,,,,,1.77,,,,,,1.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2019,true,,,,,,,,,,,,,107.5,,,,,,107.5,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2019,true,,,,,,,,,,,,,11205,,,,,,11 204.7,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,FRA,France,Year,2019,true,,,,,,,,,,,,,11994,,,,,,11 994.3,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2019,true,,,,,,,,,,,,,11.62,,,,,,11.6,,,EN,2023-04-19T22:00:00.000Z
