Country;Overall MHQ Score
Algeria;66.2774278159005
Angola;69.2172173998466
Argentina;72.2610927700862
Australia;54.4087687567393
Austria;69.1757095242697
Bangladesh;57.9105950927393
Belgium;72.0760646888914
Bolivia;61.8601484185818
Brazil;52.9403755308181
Cameroon;70.4896085990311
Canada;64.3783073058912
Chile;72.4857498393119
Colombia;68.8507863712109
Congo Democratic Republic;77.6626647993931
Costa Rica;74.5552818633839
Cote d'Ivoire;72.0406992992176
Dominican Republic;87.1738869724429
Ecuador;74.5358545478753
Egypt;58.400411327818
El Salvador;77.299750055931
France;74.0727571109959
Germany;65.8628178318205
Ghana;91.9370122663458
Guatemala;69.0591008593053
Honduras;71.723510653976
India;58.8221642424149
Iraq;58.2164753341028
Ireland;56.0430931390648
Jamaica;90.918272160703
Jordan;68.0090084918924
Kenya;74.6766929263469
Malaysia;76.1343825959285
Mexico;69.4850913891064
Morocco;68.8498243297239
Mozambique;72.6761398080856
Nepal;56.7890802981756
New Zealand;63.7240821870418
Nicaragua;76.2612840870628
Nigeria;78.608717799481
Pakistan;61.0487478260588
Panama;88.161599412868
Paraguay;74.8911773926683
Peru;71.6056054889811
Philippines;77.3273946993856
Portugal;74.1881463384933
Puerto Rico;87.9794066453501
Saudi Arabia;70.1627159271436
Singapore;74.2152153349969
South Africa;47.4879537829801
Spain;70.1939518094373
Sri Lanka;85.6246327250308
Sudan;66.1394951199447
Switzerland;78.5898178155694
Syria;64.1696428616956
Tanzania;93.635634916356
Trinidad and Tobago;80.4036709023632
Tunisia;64.3978530471194
United Arab Emirates;70.0474331797334
United Kingdom;46.2038837730894
United States;67.9400100650549
Uruguay;80.5356896375529
Venezuela;85.7765285960593
Yemen;63.1276913483289
Zimbabwe;75.7842118420465
