outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Alcohol Use in the Past Month,12 or Older,2008-10,"West",0.514162832,0.5035351974,0.5247776745
Alcohol Use in the Past Month,12 to 17,2008-10,"West",0.1432774425,0.1356245241,0.1512866128
Alcohol Use in the Past Month,18 or Older,2008-10,"West",0.5557971334,0.5440123057,0.5675195182
Alcohol Use in the Past Month,18 to 25,2008-10,"West",0.5912824504,0.5767080648,0.6056981188
Alcohol Use in the Past Month,26 or Older,2008-10,"West",0.5493811659,0.5366175337,0.5620801358
Alcohol Use in the Past Month,12 or Older,2008-10,"South",0.4758857554,0.4672636302,0.4845222794
Alcohol Use in the Past Month,12 to 17,2008-10,"South",0.1344545614,0.1292897043,0.1397926183
Alcohol Use in the Past Month,18 or Older,2008-10,"South",0.5128878688,0.5033730922,0.5223933143
Alcohol Use in the Past Month,18 to 25,2008-10,"South",0.573747669,0.5614300048,0.5859745024
Alcohol Use in the Past Month,26 or Older,2008-10,"South",0.5025364762,0.4926439348,0.5124270322
Alcohol Use in the Past Month,12 or Older,2008-10,"Midwest",0.544327228,0.5355154588,0.5531113312
Alcohol Use in the Past Month,12 to 17,2008-10,"Midwest",0.1457483845,0.1404010187,0.1512635737
Alcohol Use in the Past Month,18 or Older,2008-10,"Midwest",0.587651773,0.5778918453,0.5973432711
Alcohol Use in the Past Month,18 to 25,2008-10,"Midwest",0.6501366309,0.6377774833,0.6622973692
Alcohol Use in the Past Month,26 or Older,2008-10,"Midwest",0.5768102988,0.5665594776,0.5869954138
Alcohol Use in the Past Month,12 or Older,2008-10,"Northeast",0.5668333375,0.556456026,0.5771523534
Alcohol Use in the Past Month,12 to 17,2008-10,"Northeast",0.163571542,0.1562723641,0.1711424956
Alcohol Use in the Past Month,18 or Older,2008-10,"Northeast",0.6081194975,0.5966938767,0.6194278795
Alcohol Use in the Past Month,18 to 25,2008-10,"Northeast",0.6707108411,0.65690042,0.6842325814
Alcohol Use in the Past Month,26 or Older,2008-10,"Northeast",0.5975958226,0.5853025445,0.609767646
Alcohol Use in the Past Month,12 or Older,2008-10,"United States",0.516481714,0.51180456,0.5211559822
Alcohol Use in the Past Month,12 to 17,2008-10,"United States",0.1441432853,0.1402821275,0.148092412
Alcohol Use in the Past Month,18 or Older,2008-10,"United States",0.556780734,0.5516630005,0.5618864432
Alcohol Use in the Past Month,18 to 25,2008-10,"United States",0.6122332782,0.6060488389,0.6183817647
Alcohol Use in the Past Month,26 or Older,2008-10,"United States",0.5471894431,0.5413699505,0.5529960642
Alcohol Use in the Past Month,12 or Older,2008-10,"Alabama",0.4266859454,0.3997533261,0.4540604828
Alcohol Use in the Past Month,12 to 17,2008-10,"Alabama",0.1221475663,0.1055358427,0.1409619677
Alcohol Use in the Past Month,18 or Older,2008-10,"Alabama",0.4595107892,0.4299106935,0.4893993443
Alcohol Use in the Past Month,18 to 25,2008-10,"Alabama",0.5318766108,0.4981638422,0.5653008522
Alcohol Use in the Past Month,26 or Older,2008-10,"Alabama",0.4471552711,0.4142435544,0.4805366931
Alcohol Use in the Past Month,12 or Older,2008-10,"Alabama Region 1",0.3991891312,0.3558446879,0.4441726843
Alcohol Use in the Past Month,12 to 17,2008-10,"Alabama Region 1",0.1161657619,0.0913099753,0.1466953348
Alcohol Use in the Past Month,18 or Older,2008-10,"Alabama Region 1",0.4285237514,0.3812333465,0.4771566805
Alcohol Use in the Past Month,18 to 25,2008-10,"Alabama Region 1",0.5013017244,0.4424702817,0.5600971453
Alcohol Use in the Past Month,26 or Older,2008-10,"Alabama Region 1",0.417467599,0.365488521,0.4713476147
Alcohol Use in the Past Month,12 or Older,2008-10,"Alabama Region 2",0.4521432286,0.4106212654,0.4943422256
Alcohol Use in the Past Month,12 to 17,2008-10,"Alabama Region 2",0.1297390196,0.1038766737,0.1608843404
Alcohol Use in the Past Month,18 or Older,2008-10,"Alabama Region 2",0.4863420862,0.4410263824,0.5318834494
Alcohol Use in the Past Month,18 to 25,2008-10,"Alabama Region 2",0.5369907527,0.480592413,0.5924582596
Alcohol Use in the Past Month,26 or Older,2008-10,"Alabama Region 2",0.4778328136,0.4276748277,0.528441848
Alcohol Use in the Past Month,12 or Older,2008-10,"Alabama Region 3",0.4341727434,0.3857247929,0.4839121064
Alcohol Use in the Past Month,12 to 17,2008-10,"Alabama Region 3",0.110712173,0.0842824334,0.1441254415
Alcohol Use in the Past Month,18 or Older,2008-10,"Alabama Region 3",0.4702442444,0.417300429,0.5238662635
Alcohol Use in the Past Month,18 to 25,2008-10,"Alabama Region 3",0.5732049415,0.5125354652,0.6317487645
Alcohol Use in the Past Month,26 or Older,2008-10,"Alabama Region 3",0.4476923568,0.3882236309,0.5086959776
