outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Cocaine Use in the Past Year,12 or Older,2004-06,"West",0.0236562241,0.0216498137,0.0258436679
Cocaine Use in the Past Year,12 to 17,2004-06,"West",0.0174258286,0.0150621191,0.0201528869
Cocaine Use in the Past Year,18 or Older,2004-06,"West",0.0244161526,0.0222091717,0.0268364273
Cocaine Use in the Past Year,18 to 25,2004-06,"West",0.0690577292,0.0636993867,0.0748307874
Cocaine Use in the Past Year,26 or Older,2004-06,"West",0.0162703737,0.0139651057,0.0189488672
Cocaine Use in the Past Year,12 or Older,2004-06,"South",0.023450787,0.0219155507,0.0250908113
Cocaine Use in the Past Year,12 to 17,2004-06,"South",0.0168480737,0.0150347274,0.0188759374
Cocaine Use in the Past Year,18 or Older,2004-06,"South",0.0242125641,0.0225323791,0.0260147019
Cocaine Use in the Past Year,18 to 25,2004-06,"South",0.064350035,0.0606177937,0.068295364
Cocaine Use in the Past Year,26 or Older,2004-06,"South",0.0172391054,0.0154238944,0.0192637656
Cocaine Use in the Past Year,12 or Older,2004-06,"Midwest",0.0228583769,0.0212888606,0.0245407039
Cocaine Use in the Past Year,12 to 17,2004-06,"Midwest",0.0153879151,0.0137444871,0.0172244159
Cocaine Use in the Past Year,18 or Older,2004-06,"Midwest",0.0237240845,0.0219927715,0.0255881239
Cocaine Use in the Past Year,18 to 25,2004-06,"Midwest",0.064500393,0.0606644232,0.0685612171
Cocaine Use in the Past Year,26 or Older,2004-06,"Midwest",0.0164357533,0.0145875839,0.0185136768
Cocaine Use in the Past Year,12 or Older,2004-06,"Northeast",0.0255093548,0.0234517444,0.0277423673
Cocaine Use in the Past Year,12 to 17,2004-06,"Northeast",0.0152190667,0.0133204205,0.0173835713
Cocaine Use in the Past Year,18 or Older,2004-06,"Northeast",0.026641849,0.0243808881,0.0291062248
Cocaine Use in the Past Year,18 to 25,2004-06,"Northeast",0.0755837907,0.0704498223,0.0810592669
Cocaine Use in the Past Year,26 or Older,2004-06,"Northeast",0.0186819552,0.016317049,0.0213821679
Cocaine Use in the Past Year,12 or Older,2004-06,"United States",0.0237505978,0.0226362846,0.0249183666
Cocaine Use in the Past Year,12 to 17,2004-06,"United States",0.016367482,0.0151577471,0.0176720329
Cocaine Use in the Past Year,18 or Older,2004-06,"United States",0.0246068525,0.0235135616,0.0257496369
Cocaine Use in the Past Year,18 to 25,2004-06,"United States",0.0674832256,0.0648648816,0.0701993278
Cocaine Use in the Past Year,26 or Older,2004-06,"United States",0.0171156383,0.0159599232,0.018353482
Cocaine Use in the Past Year,12 or Older,2004-06,"Alabama",0.0215176676,0.0171589115,0.0269532833
Cocaine Use in the Past Year,12 to 17,2004-06,"Alabama",0.0151714544,0.0106806504,0.0215094164
Cocaine Use in the Past Year,18 or Older,2004-06,"Alabama",0.0222359789,0.0174811658,0.0282469023
Cocaine Use in the Past Year,18 to 25,2004-06,"Alabama",0.0584719586,0.0459515309,0.0741387291
Cocaine Use in the Past Year,26 or Older,2004-06,"Alabama",0.0158911375,0.0113459273,0.0222162555
Cocaine Use in the Past Year,12 or Older,2004-06,"Alabama Region 1",0.018482249,0.0130317024,0.0261520958
Cocaine Use in the Past Year,12 to 17,2004-06,"Alabama Region 1",0.0166632302,0.0094395135,0.0292517491
Cocaine Use in the Past Year,18 or Older,2004-06,"Alabama Region 1",0.018673912,0.0128929859,0.0269760397
Cocaine Use in the Past Year,18 to 25,2004-06,"Alabama Region 1",0.0553422561,0.0366005575,0.0828554748
Cocaine Use in the Past Year,26 or Older,2004-06,"Alabama Region 1",0.0129653122,0.0078972731,0.0212161898
Cocaine Use in the Past Year,12 or Older,2004-06,"Alabama Region 2",0.0224363609,0.0159701421,0.0314370724
Cocaine Use in the Past Year,12 to 17,2004-06,"Alabama Region 2",0.0160617108,0.0095936361,0.0267727104
Cocaine Use in the Past Year,18 or Older,2004-06,"Alabama Region 2",0.0231416252,0.0161320169,0.0330945639
Cocaine Use in the Past Year,18 to 25,2004-06,"Alabama Region 2",0.0582130854,0.0409147031,0.0821982623
Cocaine Use in the Past Year,26 or Older,2004-06,"Alabama Region 2",0.0168795149,0.0102933259,0.0275625183
