outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Cocaine Use in the Past Year,12 or Older,2012-14,"West",0.0201998861,0.0182466494,0.0223574481
Cocaine Use in the Past Year,12 to 17,2012-14,"West",0.0086338539,0.0068472887,0.0108814548
Cocaine Use in the Past Year,18 or Older,2012-14,"West",0.0214428936,0.0193134777,0.023801391
Cocaine Use in the Past Year,18 to 25,2012-14,"West",0.0584241669,0.0529314758,0.0644480468
Cocaine Use in the Past Year,26 or Older,2012-14,"West",0.0148696442,0.0126992457,0.0174044415
Cocaine Use in the Past Year,12 or Older,2012-14,"South",0.0153365164,0.0141314377,0.0166426252
Cocaine Use in the Past Year,12 to 17,2012-14,"South",0.0060220173,0.0050426758,0.007190183
Cocaine Use in the Past Year,18 or Older,2012-14,"South",0.0163243133,0.0150022447,0.0177607882
Cocaine Use in the Past Year,18 to 25,2012-14,"South",0.0390397375,0.0359586919,0.0423731726
Cocaine Use in the Past Year,26 or Older,2012-14,"South",0.0124498645,0.0110484259,0.0140265474
Cocaine Use in the Past Year,12 or Older,2012-14,"Midwest",0.0140275851,0.012791636,0.0153810931
Cocaine Use in the Past Year,12 to 17,2012-14,"Midwest",0.0049940958,0.0040134771,0.0062128159
Cocaine Use in the Past Year,18 or Older,2012-14,"Midwest",0.0149868073,0.013637645,0.016467213
Cocaine Use in the Past Year,18 to 25,2012-14,"Midwest",0.0367743376,0.033619546,0.0402128498
Cocaine Use in the Past Year,26 or Older,2012-14,"Midwest",0.0112724126,0.0098499965,0.0128975611
Cocaine Use in the Past Year,12 or Older,2012-14,"Northeast",0.0199261464,0.0179659188,0.0220954386
Cocaine Use in the Past Year,12 to 17,2012-14,"Northeast",0.0059469435,0.0047407201,0.0074577771
Cocaine Use in the Past Year,18 or Older,2012-14,"Northeast",0.0212838506,0.0191429989,0.0236583489
Cocaine Use in the Past Year,18 to 25,2012-14,"Northeast",0.0519529267,0.0472059174,0.0571486614
Cocaine Use in the Past Year,26 or Older,2012-14,"Northeast",0.016185899,0.0139476821,0.0187764483
Cocaine Use in the Past Year,12 or Older,2012-14,"United States",0.0170214979,0.0161887852,0.0178962642
Cocaine Use in the Past Year,12 to 17,2012-14,"United States",0.0064114931,0.00558621,0.0073577978
Cocaine Use in the Past Year,18 or Older,2012-14,"United States",0.0181333002,0.0172169637,0.0190974591
Cocaine Use in the Past Year,18 to 25,2012-14,"United States",0.0455083398,0.0430217212,0.0481314542
Cocaine Use in the Past Year,26 or Older,2012-14,"United States",0.013441097,0.012487395,0.0144665692
