outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 or Older,2002-04,"West",0.0678848972,0.0641736539,0.0717943007
Marijuana Use in the Past Month,12 to 17,2002-04,"West",0.0846921399,0.0789086678,0.0908576883
Marijuana Use in the Past Month,18 or Older,2002-04,"West",0.0658193658,0.0617559809,0.0701301268
Marijuana Use in the Past Month,18 to 25,2002-04,"West",0.1637402017,0.1559947004,0.171792006
Marijuana Use in the Past Month,26 or Older,2002-04,"West",0.0479364535,0.0434545383,0.0528550917
Marijuana Use in the Past Month,12 or Older,2002-04,"South",0.0539353394,0.0517513623,0.0562060202
Marijuana Use in the Past Month,12 to 17,2002-04,"South",0.0709136371,0.067111126,0.0749142968
Marijuana Use in the Past Month,18 or Older,2002-04,"South",0.0519503826,0.0495889715,0.0544178048
Marijuana Use in the Past Month,18 to 25,2002-04,"South",0.149214847,0.1434185095,0.155203001
Marijuana Use in the Past Month,26 or Older,2002-04,"South",0.0350032137,0.0325264668,0.0376612125
Marijuana Use in the Past Month,12 or Older,2002-04,"Midwest",0.060328206,0.0578493825,0.0629061543
Marijuana Use in the Past Month,12 to 17,2002-04,"Midwest",0.0788877655,0.0749202561,0.0830465183
Marijuana Use in the Past Month,18 or Older,2002-04,"Midwest",0.0581407909,0.0554775454,0.0609236411
Marijuana Use in the Past Month,18 to 25,2002-04,"Midwest",0.1671486093,0.1613582464,0.1731038707
Marijuana Use in the Past Month,26 or Older,2002-04,"Midwest",0.0386191502,0.0358064551,0.0416432477
Marijuana Use in the Past Month,12 or Older,2002-04,"Northeast",0.0677595911,0.064422504,0.0712563738
Marijuana Use in the Past Month,12 to 17,2002-04,"Northeast",0.0868731776,0.0814850808,0.0925816442
Marijuana Use in the Past Month,18 or Older,2002-04,"Northeast",0.0656524045,0.0620389333,0.0694607569
Marijuana Use in the Past Month,18 to 25,2002-04,"Northeast",0.2058677246,0.1975625939,0.2144286908
