measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Afghanistan,Both,All ages,Anxiety disorders,Rate,2021,5702.069769,8018.88923,4024.252091
Prevalence,Albania,Both,All ages,Anxiety disorders,Rate,2021,5015.936363,6707.268644,3607.798326
Prevalence,Algeria,Both,All ages,Anxiety disorders,Rate,2021,5443.23102,7382.827961,3839.177586
Prevalence,American Samoa,Both,All ages,Anxiety disorders,Rate,2021,4336.930246,5962.647351,3052.974271
Prevalence,Andorra,Both,All ages,Anxiety disorders,Rate,2021,6909.081028,9271.308499,5088.895994
Prevalence,Angola,Both,All ages,Anxiety disorders,Rate,2021,3589.73152,5058.903271,2494.175271
Prevalence,Antigua and Barbuda,Both,All ages,Anxiety disorders,Rate,2021,5663.313133,7676.588255,4014.314551
Prevalence,Argentina,Both,All ages,Anxiety disorders,Rate,2021,6597.51935,8812.612759,4768.688604
Prevalence,Armenia,Both,All ages,Anxiety disorders,Rate,2021,3592.188314,4798.389888,2624.301037
Prevalence,Australia,Both,All ages,Anxiety disorders,Rate,2021,6333.388581,8498.619982,4501.48064
Prevalence,Austria,Both,All ages,Anxiety disorders,Rate,2021,7214.108912,9393.110687,5160.207224
Prevalence,Azerbaijan,Both,All ages,Anxiety disorders,Rate,2021,3061.39906,4185.182978,2173.237751
Prevalence,Bahamas,Both,All ages,Anxiety disorders,Rate,2021,5848.378003,8090.849482,4291.101915
Prevalence,Bahrain,Both,All ages,Anxiety disorders,Rate,2021,6120.719336,8097.566185,4318.957285
Prevalence,Bangladesh,Both,All ages,Anxiety disorders,Rate,2021,3761.164245,5030.802907,2703.457042
Prevalence,Barbados,Both,All ages,Anxiety disorders,Rate,2021,5826.292172,7784.333499,4282.292055
Prevalence,Belarus,Both,All ages,Anxiety disorders,Rate,2021,5369.680728,7279.366745,3853.324019
Prevalence,Belgium,Both,All ages,Anxiety disorders,Rate,2021,6173.394993,8301.439337,4503.170178
Prevalence,Belize,Both,All ages,Anxiety disorders,Rate,2021,5150.30797,7151.987294,3645.796159
Prevalence,Benin,Both,All ages,Anxiety disorders,Rate,2021,2968.314322,4137.912747,2059.818356
Prevalence,Bermuda,Both,All ages,Anxiety disorders,Rate,2021,5663.513419,7507.03059,4018.910892
Prevalence,Bhutan,Both,All ages,Anxiety disorders,Rate,2021,3383.964498,4557.587959,2385.701239
Prevalence,Bolivia,Both,All ages,Anxiety disorders,Rate,2021,7678.107511,10320.73259,5516.257019
Prevalence,Bosnia and Herzegovina,Both,All ages,Anxiety disorders,Rate,2021,4917.044995,6563.194168,3545.307677
Prevalence,Botswana,Both,All ages,Anxiety disorders,Rate,2021,4706.782728,6501.960264,3376.327986
Prevalence,Brazil,Both,All ages,Anxiety disorders,Rate,2021,9642.946551,11206.94517,8241.582032
Prevalence,Brunei,Both,All ages,Anxiety disorders,Rate,2021,3520.994216,4873.938595,2479.884777
Prevalence,Bulgaria,Both,All ages,Anxiety disorders,Rate,2021,5390.571508,7311.916308,3851.662535
Prevalence,Burkina Faso,Both,All ages,Anxiety disorders,Rate,2021,2827.282184,3957.177344,1938.185791
Prevalence,Burundi,Both,All ages,Anxiety disorders,Rate,2021,3699.770231,5058.306451,2549.211045
Prevalence,Ivory Coast,Both,All ages,Anxiety disorders,Rate,2021,3001.535031,4198.664513,2102.53579
Prevalence,Cape Verde,Both,All ages,Anxiety disorders,Rate,2021,3667.324263,5066.054398,2581.180738
Prevalence,Cambodia,Both,All ages,Anxiety disorders,Rate,2021,4668.377087,6358.877092,3310.630205
