Entity,Code,Year,Manufactured cigarettes sold per adult per day
Armenia,ARM,1988,12
Armenia,ARM,1989,11.6
Armenia,ARM,1990,11.9
Armenia,ARM,1991,9.3
Armenia,ARM,1992,4.9
Armenia,ARM,1993,5.5
Armenia,ARM,1994,5.7
Armenia,ARM,1995,5.6
Armenia,ARM,1996,5.6
Armenia,ARM,1997,5.6
Armenia,ARM,1998,5.7
Australia,AUS,1920,1.6
Australia,AUS,1921,1.8
Australia,AUS,1922,1.6
Australia,AUS,1923,1.5
Australia,AUS,1924,1.6
Australia,AUS,1925,1.6
Australia,AUS,1926,1.6
Australia,AUS,1927,1.7
Australia,AUS,1928,1.8
Australia,AUS,1929,1.8
Australia,AUS,1930,1.7
Australia,AUS,1931,1.2
Australia,AUS,1932,1.1
Australia,AUS,1933,1.2
Australia,AUS,1934,1.2
Australia,AUS,1935,1.2
Australia,AUS,1936,1.3
Australia,AUS,1937,1.4
Australia,AUS,1938,1.5
Australia,AUS,1939,1.7
Australia,AUS,1940,1.8
Australia,AUS,1941,1.6
Australia,AUS,1942,1.8
Australia,AUS,1943,1.8
Australia,AUS,1944,1.8
Australia,AUS,1945,1.7
Australia,AUS,1946,1.8
Australia,AUS,1947,2.2
Australia,AUS,1948,2.7
Australia,AUS,1949,3.1
Australia,AUS,1950,3.5
Australia,AUS,1951,4.1
Australia,AUS,1952,4.1
Australia,AUS,1953,3.9
Australia,AUS,1954,4.5
Australia,AUS,1955,4.8
Australia,AUS,1956,5.2
Australia,AUS,1957,5.6
Australia,AUS,1958,5.8
Australia,AUS,1959,6.1
Australia,AUS,1960,6.5
Australia,AUS,1961,6.8
Australia,AUS,1962,6.9
Australia,AUS,1963,7
Australia,AUS,1964,7.2
Australia,AUS,1965,7.3
Australia,AUS,1966,7.6
Australia,AUS,1967,7.3
Australia,AUS,1968,7.6
Australia,AUS,1969,7.8
Australia,AUS,1970,8
Australia,AUS,1971,7.9
Australia,AUS,1972,8.1
Australia,AUS,1973,8.4
Australia,AUS,1974,9.1
Australia,AUS,1975,8.8
Australia,AUS,1976,8.2
Australia,AUS,1977,8.9
Australia,AUS,1978,8.8
Australia,AUS,1979,8.7
Australia,AUS,1980,9
Australia,AUS,1981,8.7
Australia,AUS,1982,8.4
Australia,AUS,1983,7.9
Australia,AUS,1984,7.7
Australia,AUS,1985,7.7
Australia,AUS,1986,7.7
Australia,AUS,1987,7.3
Australia,AUS,1988,7.3
Australia,AUS,1989,7.3
Australia,AUS,1990,7.4
Australia,AUS,1991,7
Australia,AUS,1992,7.1
Australia,AUS,1993,6.4
Australia,AUS,1994,6.1
Australia,AUS,1995,6
Australia,AUS,1996,5.3
Australia,AUS,1997,5.3
Australia,AUS,1998,5.1
Australia,AUS,1999,4.9
Australia,AUS,2000,4.7
Australia,AUS,2001,4.3
Australia,AUS,2002,4.1
Australia,AUS,2003,4.2
Australia,AUS,2004,4.1
Australia,AUS,2005,4
Australia,AUS,2006,3.9
Australia,AUS,2007,3.8
Australia,AUS,2008,3.9
Australia,AUS,2009,3.8
Australia,AUS,2010,3.7
Austria,AUT,1923,1.6
Austria,AUT,1924,2.1
Austria,AUT,1925,2.2
Austria,AUT,1926,2.4
Austria,AUT,1927,2.5
Austria,AUT,1928,2.6
Austria,AUT,1929,2.7
Austria,AUT,1930,2.6
Austria,AUT,1931,2.7
Austria,AUT,1932,3
Austria,AUT,1933,2.7
Austria,AUT,1934,2.5
Austria,AUT,1935,2.4
Austria,AUT,1936,2.3
Austria,AUT,1937,2.2
Austria,AUT,1938,2.6
Austria,AUT,1939,3.4
Austria,AUT,1940,4.2
Austria,AUT,1941,4.9
Austria,AUT,1942,4.5
Austria,AUT,1943,4.3
Austria,AUT,1944,3.4
Austria,AUT,1945,1.3
Austria,AUT,1946,1.1
Austria,AUT,1947,1.6
Austria,AUT,1948,2
Austria,AUT,1949,2.5
Austria,AUT,1950,3
Austria,AUT,1951,3.4
Austria,AUT,1952,3.6
Austria,AUT,1953,3.7
Austria,AUT,1954,3.2
Austria,AUT,1955,3.6
Austria,AUT,1956,4
Austria,AUT,1957,4.2
Austria,AUT,1958,4.5
Austria,AUT,1959,4.6
Austria,AUT,1960,4.7
Austria,AUT,1961,4.6
Austria,AUT,1962,4.8
Austria,AUT,1963,5
Austria,AUT,1964,5.1
Austria,AUT,1965,5.3
Austria,AUT,1966,5.7
Austria,AUT,1967,5.8
Austria,AUT,1968,5.9
Austria,AUT,1969,6.1
Austria,AUT,1970,6.4
Austria,AUT,1971,6.6
Austria,AUT,1972,6.5
Austria,AUT,1973,7
Austria,AUT,1974,6.9
Austria,AUT,1975,6.6
Austria,AUT,1976,6.8
Austria,AUT,1977,6.9
Austria,AUT,1978,7
Austria,AUT,1979,7.2
Austria,AUT,1980,7.1
Austria,AUT,1981,7.1
Austria,AUT,1982,7
Austria,AUT,1983,7.1
Austria,AUT,1984,6.9
Austria,AUT,1985,6.9
Austria,AUT,1986,6.9
Austria,AUT,1987,6.7
Austria,AUT,1988,6.3
Austria,AUT,1989,6.1
Austria,AUT,1990,6.2
Austria,AUT,1991,6.3
Austria,AUT,1992,6
Austria,AUT,1993,5.7
Austria,AUT,1994,5.8
Austria,AUT,1995,5.5
Austria,AUT,1996,5.3
Austria,AUT,1997,5.6
Austria,AUT,1998,6.3
Austria,AUT,1999,6.5
Austria,AUT,2000,6.4
Austria,AUT,2001,6.2
Austria,AUT,2002,4.7
Austria,AUT,2003,4.5
Austria,AUT,2004,4.5
Azerbaijan,AZE,1988,5.1
Azerbaijan,AZE,1989,4.9
Azerbaijan,AZE,1990,4.4
Azerbaijan,AZE,1991,5.2
Azerbaijan,AZE,1992,3.8
Azerbaijan,AZE,1993,1.1
Azerbaijan,AZE,1994,3.3
Azerbaijan,AZE,1995,3.3
Azerbaijan,AZE,1996,3.3
Azerbaijan,AZE,1997,3.4
Azerbaijan,AZE,1998,3.2
Belarus,BLR,1988,4.4
Belarus,BLR,1989,4.3
Belarus,BLR,1990,4.3
Belarus,BLR,1991,4.7
Belarus,BLR,1992,4.7
Belarus,BLR,1993,4.6
Belarus,BLR,1994,4.8
Belarus,BLR,1995,4.8
Belarus,BLR,1996,5.1
Belarus,BLR,1997,5.2
Belarus,BLR,1998,5.4
Belgium,BEL,1921,1.6
Belgium,BEL,1922,1.7
Belgium,BEL,1923,1.8
Belgium,BEL,1924,2
Belgium,BEL,1925,2
Belgium,BEL,1926,2
Belgium,BEL,1927,2.2
Belgium,BEL,1928,2.5
Belgium,BEL,1929,2.7
Belgium,BEL,1930,3
Belgium,BEL,1931,3
Belgium,BEL,1932,2.6
Belgium,BEL,1933,2.4
Belgium,BEL,1934,2.1
Belgium,BEL,1935,2.1
Belgium,BEL,1936,2.2
Belgium,BEL,1937,2.2
Belgium,BEL,1938,2.1
Belgium,BEL,1939,2.1
Belgium,BEL,1940,1.8
Belgium,BEL,1941,1.6
Belgium,BEL,1942,1.4
Belgium,BEL,1943,0.8
Belgium,BEL,1944,0.9
Belgium,BEL,1945,1.1
Belgium,BEL,1946,2.6
Belgium,BEL,1947,3.5
Belgium,BEL,1948,3.6
Belgium,BEL,1949,3.4
Belgium,BEL,1950,3.4
Belgium,BEL,1951,3.3
Belgium,BEL,1952,3.2
Belgium,BEL,1953,3.3
Belgium,BEL,1954,3.3
Belgium,BEL,1955,3.4
Belgium,BEL,1956,3.6
Belgium,BEL,1957,3.9
Belgium,BEL,1958,4.1
Belgium,BEL,1959,4
Belgium,BEL,1960,4.3
Belgium,BEL,1961,4.4
Belgium,BEL,1962,4.6
Belgium,BEL,1963,4.8
Belgium,BEL,1964,4.9
Belgium,BEL,1965,5.4
Belgium,BEL,1966,5.7
Belgium,BEL,1967,5.8
Belgium,BEL,1968,5.9
Belgium,BEL,1969,6.2
Belgium,BEL,1970,6.6
Belgium,BEL,1971,6.8
Belgium,BEL,1972,7
Belgium,BEL,1973,7.4
Belgium,BEL,1974,7.3
Belgium,BEL,1975,6.8
Belgium,BEL,1976,6.6
Belgium,BEL,1977,6.3
Belgium,BEL,1978,5.5
Belgium,BEL,1979,5.9
Belgium,BEL,1980,5.9
Belgium,BEL,1981,5.8
Belgium,BEL,1982,6.2
Belgium,BEL,1983,5.9
Belgium,BEL,1984,5.9
Belgium,BEL,1985,5.4
Belgium,BEL,1986,5.3
Belgium,BEL,1987,4.9
Belgium,BEL,1988,5
Belgium,BEL,1989,4.8
Belgium,BEL,1990,4.6
Belgium,BEL,1991,4.7
Belgium,BEL,1992,4.5
Belgium,BEL,1993,4.2
Belgium,BEL,1994,4
Belgium,BEL,1995,4.1
Belgium,BEL,1996,4
Belgium,BEL,1997,3.8
Belgium,BEL,1998,4
Belgium,BEL,1999,4.4
Belgium,BEL,2000,4.5
Belgium,BEL,2001,4.2
Belgium,BEL,2002,4.6
Belgium,BEL,2003,4.6
Belgium,BEL,2004,4.3
Belgium,BEL,2005,4.2
Belgium,BEL,2006,4.2
Belgium,BEL,2007,3.9
Belgium,BEL,2008,3.7
Belgium,BEL,2009,3.6
Belgium,BEL,2010,3.9
Belgium,BEL,2011,3.1
Bosnia and Herzegovina,BIH,1993,7.7
Bosnia and Herzegovina,BIH,1994,7.7
Bosnia and Herzegovina,BIH,1995,7.7
Bosnia and Herzegovina,BIH,1996,7.7
Bosnia and Herzegovina,BIH,1997,7.7
Bosnia and Herzegovina,BIH,1998,7.7
Bosnia and Herzegovina,BIH,1999,7.7
Bosnia and Herzegovina,BIH,2000,7.7
Bosnia and Herzegovina,BIH,2001,7.7
Bosnia and Herzegovina,BIH,2002,7.7
Bosnia and Herzegovina,BIH,2003,7.7
Bosnia and Herzegovina,BIH,2004,7.7
Bulgaria,BGR,1913,0.2
Bulgaria,BGR,1920,0.8
Bulgaria,BGR,1921,1.4
Bulgaria,BGR,1922,2
Bulgaria,BGR,1923,2.3
Bulgaria,BGR,1960,4
Bulgaria,BGR,1961,4.3
Bulgaria,BGR,1962,4.5
Bulgaria,BGR,1963,4.9
Bulgaria,BGR,1964,4.5
Bulgaria,BGR,1965,3.9
Bulgaria,BGR,1966,5.1
Bulgaria,BGR,1967,3.4
Bulgaria,BGR,1968,4.7
Bulgaria,BGR,1969,6.3
Bulgaria,BGR,1970,4.1
Bulgaria,BGR,1971,5.1
Bulgaria,BGR,1972,5.3
Bulgaria,BGR,1973,5.5
Bulgaria,BGR,1974,6.7
Bulgaria,BGR,1975,5.3
Bulgaria,BGR,1976,5.6
Bulgaria,BGR,1977,6.7
Bulgaria,BGR,1978,5.6
Bulgaria,BGR,1979,5.6
Bulgaria,BGR,1980,5.2
Bulgaria,BGR,1981,5.1
Bulgaria,BGR,1982,5.1
Bulgaria,BGR,1983,5.7
Bulgaria,BGR,1984,6.3
Bulgaria,BGR,1985,6.6
Bulgaria,BGR,1986,7.1
Bulgaria,BGR,1987,6.2
Bulgaria,BGR,1988,5.3
Bulgaria,BGR,1989,5.4
Bulgaria,BGR,1990,4.7
Bulgaria,BGR,1991,6
Bulgaria,BGR,1992,7.1
Bulgaria,BGR,1993,7.5
Bulgaria,BGR,1994,6
Bulgaria,BGR,1995,6.4
Bulgaria,BGR,1996,7.6
Bulgaria,BGR,1997,7.4
Bulgaria,BGR,1998,7.2
Bulgaria,BGR,1999,7.6
Bulgaria,BGR,2000,7.6
Bulgaria,BGR,2001,7.8
Bulgaria,BGR,2002,8.9
Bulgaria,BGR,2003,10
Bulgaria,BGR,2004,9.4
Bulgaria,BGR,2007,8.1
Bulgaria,BGR,2008,8.8
Bulgaria,BGR,2009,8.3
Bulgaria,BGR,2010,6.6
Bulgaria,BGR,2011,5.7
Bulgaria,BGR,2012,5.8
Bulgaria,BGR,2013,6
Bulgaria,BGR,2014,5.9
Canada,CAN,1920,1
Canada,CAN,1921,1.1
Canada,CAN,1922,0.9
Canada,CAN,1923,1
Canada,CAN,1924,1.1
Canada,CAN,1925,1.2
Canada,CAN,1926,1.4
Canada,CAN,1927,1.6
Canada,CAN,1928,1.8
Canada,CAN,1929,2.1
Canada,CAN,1930,2
Canada,CAN,1931,1.7
Canada,CAN,1932,1.4
Canada,CAN,1933,1.6
Canada,CAN,1934,1.8
Canada,CAN,1935,1.9
Canada,CAN,1936,2
Canada,CAN,1937,2.3
Canada,CAN,1938,2.4
Canada,CAN,1939,2.4
Canada,CAN,1940,2.6
Canada,CAN,1941,2.9
Canada,CAN,1942,3.3
Canada,CAN,1943,3.6
Canada,CAN,1944,3.7
Canada,CAN,1945,4.5
Canada,CAN,1946,4.7
Canada,CAN,1947,4.7
Canada,CAN,1948,4.8
Canada,CAN,1949,4.9
Canada,CAN,1950,4.9
Canada,CAN,1951,4.4
Canada,CAN,1952,4.9
Canada,CAN,1953,5.7
Canada,CAN,1954,5.8
Canada,CAN,1955,6.4
Canada,CAN,1956,6.8
Canada,CAN,1957,7.4
Canada,CAN,1958,7.8
Canada,CAN,1959,8
Canada,CAN,1960,7.9
Canada,CAN,1961,8.3
Canada,CAN,1962,8.6
Canada,CAN,1963,8.7
Canada,CAN,1964,8.7
Canada,CAN,1965,9
Canada,CAN,1966,9.4
Canada,CAN,1967,9.3
Canada,CAN,1968,8.9
Canada,CAN,1969,8.8
Canada,CAN,1970,9.2
Canada,CAN,1971,9.2
Canada,CAN,1972,9.4
Canada,CAN,1973,9.5
Canada,CAN,1974,9.6
Canada,CAN,1975,9.5
Canada,CAN,1976,9.8
Canada,CAN,1977,9.7
Canada,CAN,1978,9.5
Canada,CAN,1979,9.7
Canada,CAN,1980,9.6
Canada,CAN,1981,9.6
Canada,CAN,1982,9.6
Canada,CAN,1983,8.9
Canada,CAN,1984,8.7
Canada,CAN,1985,8.2
Canada,CAN,1986,7.7
Canada,CAN,1987,7.2
Canada,CAN,1988,6.9
Canada,CAN,1989,6.3
Canada,CAN,1990,6.2
Canada,CAN,1991,5.5
Canada,CAN,1992,5.5
Canada,CAN,1993,5.3
Canada,CAN,1994,5.9
Canada,CAN,1995,5.3
Canada,CAN,1996,5.5
Canada,CAN,1997,5.2
Canada,CAN,1998,5.1
Canada,CAN,1999,5
Canada,CAN,2000,4.8
Canada,CAN,2001,4.6
Canada,CAN,2002,4
Canada,CAN,2003,3.8
Canada,CAN,2004,3.6
Canada,CAN,2005,3.4
Canada,CAN,2006,3.1
Canada,CAN,2007,3
Canada,CAN,2008,2.8
Canada,CAN,2009,2.9
Canada,CAN,2010,3.3
Croatia,HRV,1993,6.8
Croatia,HRV,1994,6.8
Croatia,HRV,1995,6.8
Croatia,HRV,1996,8
Croatia,HRV,1997,6.7
Croatia,HRV,1998,7.2
Croatia,HRV,1999,7
Croatia,HRV,2000,6.4
Croatia,HRV,2001,6.3
Croatia,HRV,2002,5.5
Croatia,HRV,2003,5.4
Croatia,HRV,2004,4.9
Croatia,HRV,2005,5.4
Croatia,HRV,2006,5.9
Croatia,HRV,2007,6.5
Croatia,HRV,2008,6.1
Croatia,HRV,2009,4.3
Croatia,HRV,2010,4.9
Croatia,HRV,2011,5
Croatia,HRV,2012,5
Croatia,HRV,2013,4.7
Czechia,CZE,1975,6.8
Czechia,CZE,1980,6.9
Czechia,CZE,1981,7
Czechia,CZE,1982,6.7
Czechia,CZE,1983,6.9
Czechia,CZE,1984,6.7
Czechia,CZE,1985,6.7
Czechia,CZE,1986,6.8
Czechia,CZE,1987,6.5
Czechia,CZE,1988,6.2
Czechia,CZE,1989,6.2
Czechia,CZE,1993,5.3
Czechia,CZE,1994,6.7
Czechia,CZE,1995,6.8
Czechia,CZE,1996,7.4
Czechia,CZE,1997,7.8
Czechia,CZE,1998,6.1
Czechia,CZE,1999,6.9
Czechia,CZE,2000,6.2
Czechia,CZE,2001,5.4
Czechia,CZE,2002,6.2
Czechia,CZE,2003,7.1
Czechia,CZE,2004,7.2
Czechia,CZE,2005,7.3
Czechia,CZE,2006,6.2
Czechia,CZE,2007,6.2
Czechia,CZE,2008,6.2
Czechia,CZE,2009,5.8
Czechia,CZE,2010,5.2
Czechia,CZE,2011,4.7
Czechia,CZE,2012,4.7
Czechia,CZE,2013,4.1
Czechia,CZE,2014,4.4
Czechoslovakia,OWID_CZS,1923,2.2
Czechoslovakia,OWID_CZS,1924,2.5
Czechoslovakia,OWID_CZS,1925,2.6
Czechoslovakia,OWID_CZS,1926,2.7
Czechoslovakia,OWID_CZS,1927,2.9
Czechoslovakia,OWID_CZS,1928,3.1
Czechoslovakia,OWID_CZS,1929,3.2
Czechoslovakia,OWID_CZS,1930,3.2
Czechoslovakia,OWID_CZS,1931,2.9
Czechoslovakia,OWID_CZS,1932,2.7
Czechoslovakia,OWID_CZS,1933,2.6
Czechoslovakia,OWID_CZS,1934,2.6
Czechoslovakia,OWID_CZS,1937,2.7
Czechoslovakia,OWID_CZS,1948,4
Czechoslovakia,OWID_CZS,1950,4.3
Czechoslovakia,OWID_CZS,1953,4.7
Czechoslovakia,OWID_CZS,1955,4.7
Czechoslovakia,OWID_CZS,1960,5.1
Czechoslovakia,OWID_CZS,1961,5.3
Czechoslovakia,OWID_CZS,1962,4.9
Czechoslovakia,OWID_CZS,1963,5
Czechoslovakia,OWID_CZS,1964,4.6
Czechoslovakia,OWID_CZS,1965,5
Czechoslovakia,OWID_CZS,1966,5.1
Czechoslovakia,OWID_CZS,1967,5.1
Czechoslovakia,OWID_CZS,1968,5.4
Czechoslovakia,OWID_CZS,1969,4.6
Czechoslovakia,OWID_CZS,1970,5.1
Czechoslovakia,OWID_CZS,1971,5.2
Czechoslovakia,OWID_CZS,1972,5.1
Czechoslovakia,OWID_CZS,1973,5.2
Czechoslovakia,OWID_CZS,1974,5.3
Czechoslovakia,OWID_CZS,1975,5.5
Czechoslovakia,OWID_CZS,1976,5.6
Czechoslovakia,OWID_CZS,1977,5.7
Czechoslovakia,OWID_CZS,1978,5.6
Czechoslovakia,OWID_CZS,1979,5.7
Czechoslovakia,OWID_CZS,1980,5.7
Czechoslovakia,OWID_CZS,1981,6.7
Czechoslovakia,OWID_CZS,1982,6.7
Czechoslovakia,OWID_CZS,1983,6.7
Czechoslovakia,OWID_CZS,1984,6.9
Czechoslovakia,OWID_CZS,1985,6.5
Czechoslovakia,OWID_CZS,1986,6.5
Czechoslovakia,OWID_CZS,1987,6.4
Czechoslovakia,OWID_CZS,1988,6.4
Czechoslovakia,OWID_CZS,1989,6.1
Czechoslovakia,OWID_CZS,1990,6.6
Czechoslovakia,OWID_CZS,1991,6
Czechoslovakia,OWID_CZS,1992,6.6
Denmark,DNK,1920,1.1
Denmark,DNK,1921,1
Denmark,DNK,1922,1.1
Denmark,DNK,1923,1.3
Denmark,DNK,1924,1.3
Denmark,DNK,1925,1.4
Denmark,DNK,1926,1.5
Denmark,DNK,1927,1.5
Denmark,DNK,1928,1.7
Denmark,DNK,1929,1.1
Denmark,DNK,1930,1.4
Denmark,DNK,1931,1.4
Denmark,DNK,1932,1.2
Denmark,DNK,1933,1.2
Denmark,DNK,1934,1.2
Denmark,DNK,1935,1.3
Denmark,DNK,1936,1.4
Denmark,DNK,1937,1.5
Denmark,DNK,1938,1.5
Denmark,DNK,1939,1.7
Denmark,DNK,1940,1.6
Denmark,DNK,1941,1.5
Denmark,DNK,1942,1.7
Denmark,DNK,1943,1
Denmark,DNK,1944,1.2
Denmark,DNK,1945,1.1
Denmark,DNK,1946,1.9
Denmark,DNK,1947,2.1
Denmark,DNK,1948,2.3
Denmark,DNK,1949,3.1
Denmark,DNK,1950,3.5
Denmark,DNK,1951,3
Denmark,DNK,1952,3.3
Denmark,DNK,1953,3.4
Denmark,DNK,1954,3.2
Denmark,DNK,1955,3.2
Denmark,DNK,1956,3.2
Denmark,DNK,1957,3.3
Denmark,DNK,1958,3.6
Denmark,DNK,1959,3.8
Denmark,DNK,1960,4
Denmark,DNK,1961,4
Denmark,DNK,1962,4.1
Denmark,DNK,1963,4.3
Denmark,DNK,1964,4
Denmark,DNK,1965,4.1
Denmark,DNK,1966,4.2
Denmark,DNK,1967,4.2
Denmark,DNK,1968,4.3
Denmark,DNK,1969,4.6
Denmark,DNK,1970,4.6
Denmark,DNK,1971,4.7
Denmark,DNK,1972,5
Denmark,DNK,1973,5.1
Denmark,DNK,1974,4.9
Denmark,DNK,1975,5.1
Denmark,DNK,1976,5.4
Denmark,DNK,1977,5.3
Denmark,DNK,1978,5.1
Denmark,DNK,1979,5.1
Denmark,DNK,1980,4.8
Denmark,DNK,1981,4.9
Denmark,DNK,1982,5.3
Denmark,DNK,1983,4.9
Denmark,DNK,1984,5.1
Denmark,DNK,1985,5.1
Denmark,DNK,1986,4.9
Denmark,DNK,1987,4.7
Denmark,DNK,1988,4.5
Denmark,DNK,1989,4.4
Denmark,DNK,1990,4.2
Denmark,DNK,1991,4.2
Denmark,DNK,1992,4.3
Denmark,DNK,1993,4.1
Denmark,DNK,1994,4.1
Denmark,DNK,1995,4.1
Denmark,DNK,1996,4.2
Denmark,DNK,1997,4.2
Denmark,DNK,1998,4.3
Denmark,DNK,1999,4.5
Denmark,DNK,2000,5
Denmark,DNK,2001,5.1
Denmark,DNK,2002,5
Denmark,DNK,2003,5.4
Denmark,DNK,2004,5.4
Denmark,DNK,2005,5.2
Denmark,DNK,2006,5.3
Denmark,DNK,2007,5
Denmark,DNK,2008,5
Denmark,DNK,2009,5
Denmark,DNK,2010,4.9
Estonia,EST,1988,4.4
Estonia,EST,1989,4.3
Estonia,EST,1990,4.3
Estonia,EST,1991,4.7
Estonia,EST,1992,4.8
Estonia,EST,1993,4.9
Estonia,EST,1994,5
Estonia,EST,1995,5
Estonia,EST,1996,5.3
Estonia,EST,1997,5.4
Estonia,EST,1998,5.4
Estonia,EST,1999,5.4
Estonia,EST,2000,4.8
Estonia,EST,2001,5.1
Estonia,EST,2002,5.5
Estonia,EST,2003,5.1
Estonia,EST,2004,5.4
Estonia,EST,2005,5.6
Estonia,EST,2006,5.2
Estonia,EST,2007,5.3
Estonia,EST,2008,5.1
Estonia,EST,2009,5.1
Estonia,EST,2010,4.8
Estonia,EST,2011,4.6
Estonia,EST,2012,4.7
Estonia,EST,2013,4.5
Estonia,EST,2014,4.5
Finland,FIN,1920,3.6
Finland,FIN,1921,2.7
Finland,FIN,1922,2.9
Finland,FIN,1923,3.5
Finland,FIN,1924,3.6
Finland,FIN,1925,3.6
Finland,FIN,1926,3.5
Finland,FIN,1927,4
Finland,FIN,1928,4.1
Finland,FIN,1929,4.2
Finland,FIN,1930,4.4
Finland,FIN,1931,3.4
Finland,FIN,1932,3.2
Finland,FIN,1933,3.3
Finland,FIN,1934,3.6
Finland,FIN,1935,3.7
Finland,FIN,1936,3.8
Finland,FIN,1937,4.2
Finland,FIN,1938,4.6
Finland,FIN,1939,4
Finland,FIN,1940,3.8
Finland,FIN,1941,4.6
Finland,FIN,1942,3.7
Finland,FIN,1943,3.7
Finland,FIN,1944,3
Finland,FIN,1945,2.1
Finland,FIN,1946,2.9
Finland,FIN,1947,3.6
Finland,FIN,1948,4.2
Finland,FIN,1949,4.2
Finland,FIN,1950,4.4
