activity name,time started,time ended,comment,categories,record tags,duration,duration minutes
"Spanie",2024-12-06 02:27:25,2024-12-06 10:30:25,"Niewyspany","","Niewyspany ",8:3:0,483
"Poza domem",2024-12-06 10:30:57,2024-12-06 13:00:57,"","","Studia",2:30:0,150
"Poza domem",2024-12-06 15:10:25,2024-12-06 17:10:25,"","","Studia",2:0:0,120
"Nauka",2024-12-06 17:30:57,2024-12-06 18:40:57,"Kolos","","Fizyka",1:10:0,70
"Nauka",2024-12-06 20:30:45,2024-12-06 21:00:45,"Kolos","","Fizyka",0:30:0,30
"Nauka",2024-12-06 23:00:13,2024-12-07 01:10:13,"Kolos","","MN",2:10:0,130
"Spanie",2024-12-07 03:00:56,2024-12-07 12:00:56,"Wyspany","","Wyspany",9:0:0,540
"Nauka",2024-12-07 14:35:24,2024-12-07 15:32:24,"Kolos","","MN",0:57:0,57
"Nauka",2024-12-07 16:38:02,2024-12-07 16:54:02,"Kolos","","Fizyka",0:16:0,16
"Nauka",2024-12-07 17:32:05,2024-12-07 18:38:05,"Kolos","","MN",1:6:0,66
"Nauka",2024-12-07 20:00:38,2024-12-07 20:29:38,"Kolos","","Fizyka",0:29:0,29
"Spanie",2024-12-08 02:34:22,2024-12-08 12:23:22,"Wyspany","","Wyspany",9:49:0,589
"Nauka",2024-12-08 17:06:21,2024-12-08 17:26:21,"Kolos","","Fizyka",0:20:0,20
"Nauka",2024-12-08 18:51:44,2024-12-08 19:22:44,"Kolos","","Fizyka",0:31:0,31
"Spanie",2024-12-08 23:30:09,2024-12-09 07:10:09,"Niewyspany","","Niewyspany ",7:40:0,460
"Poza domem",2024-12-09 08:00:48,2024-12-09 12:10:48,"","","Studia",4:10:0,250
"Nauka",2024-12-09 13:50:46,2024-12-09 22:00:46,"Kolos","","MN",8:10:0,490
"Spanie",2024-12-09 22:30:07,2024-12-10 09:45:07,"Niewyspany","","Niewyspany ",11:15:0,675
"Poza domem",2024-12-10 09:50:51,2024-12-10 13:15:51,"","","Studia",3:25:0,205
"Nauka",2024-12-10 13:20:36,2024-12-10 19:30:36,"Kolos","","MN",6:10:0,370
"Poza domem",2024-12-10 19:30:08,2024-12-10 21:00:08,"","","Spacer",1:30:0,90
"Nauka",2024-12-10 21:00:07,2024-12-11 01:00:07,"Kolos","","MN",4:0:0,240
"Spanie",2024-12-11 03:00:09,2024-12-11 11:30:09,"Niewyspany","","Niewyspany ",8:30:0,510
"Poza domem",2024-12-11 11:40:34,2024-12-11 22:00:34,"","","Studia",10:20:0,620
"Nauka",2024-12-11 22:00:51,2024-12-12 01:00:51,"Kolos","","MN",3:0:0,180
"Spanie",2024-12-12 02:30:11,2024-12-12 11:00:11,"Niewyspany","","Niewyspany ",8:30:0,510
"Poza domem",2024-12-12 11:45:56,2024-12-12 19:00:56,"","","Studia",7:15:0,435
"Nauka",2024-12-12 19:00:39,2024-12-13 00:30:39,"Projekt","","MN",5:30:0,330
"Spanie",2024-12-13 02:00:20,2024-12-13 11:23:20,"Niewyspany","","Niewyspany ",9:23:0,563
"Poza domem",2024-12-13 11:45:52,2024-12-13 14:33:52,"","","Studia",2:48:0,168
