"placeID","name","category"
"ChIJ-03Evo7MHkcROWhT6s_GVlU","Kawiarnia","restaurants"
"ChIJ-8edLljMHkcR-KqS_kd_4GE","Świetlica","restaurants"
"ChIJ-djeq4ItGUcR_Z-0W13yJb0","Super-Pharm","shopping"
"ChIJ07TYV6rMHkcRRAUQ0C9LhlE","Gorka Szczesliwicka","entertainment"
"ChIJ1Q2PpY3MHkcRHrorSFhMgl4","Kino","entertainment"
"ChIJ1ct2nUwtGUcR6hsKewA9psI","hairdresser","entertainment"
"ChIJ1eENRpgtGUcRNiU_TXjAQJM","Mieszkanie Klaudii","home"
"ChIJ249xMY3MHkcRkGgnFhTHz4g","Metro Centrum","transport"
"ChIJ41Yyy_7KHkcRUTyBDVozopw","Michal home","home"
"ChIJ42xRrX7MHkcR8eCUNcawhqc","sisters_house","entertainment"
"ChIJ48lh61YtGkcR5zZ3mhrVT5g","Z Pieca Rodem","shopping"
"ChIJ48lh61YtGkcRUtgzdf6KND0","Lidl","shopping"
"ChIJ4zcPZpgtGUcRZF9Ut87mAoU","Zabka","shopping"
"ChIJ55j7A2PMHkcRVrjfaQJBbx8","","shopping"
"ChIJ5TYzuWDLHkcRTZW5KwHL0fc","Boiler Room","entertainment"
"ChIJ5xAXcywzGUcRB462jrXIlnE","Galeria Mokotów","shopping"
"ChIJ67FqUc3SG0cRIvUltZ1uujU","Market Primus","shopping"
"ChIJ6eFsD_TMHkcRxdd5F5AgcDA","","shopping"
"ChIJ6yNoIVj6PEcRLlh1V4RS-rw","Millenium Hall","shopping"
"ChIJ7RG0DgL7PEcRKoS1-ky6_Ak","bar","restaurants"
"ChIJ906hXoIyGUcRRI_kS7FPFAg","stop1","transport"
"ChIJ916NDfPMHkcR9ru4Y7VuuCM","Kino","entertainment"
"ChIJ9wCaMYw4D0cR8u6bhlGFtrI","Autostrada Postój","transport"
"ChIJA1EHdJgtGUcRfgrcZf-1y8w","Mieszkanie Klaudii","home"
"ChIJB4mvyljUG0cRYV0oM-DLm2g","Koluszki","transport"
"ChIJBV4ts-HNHkcR7k8uYM2Nrm0","Lubaszka","restaurants"
"ChIJBxty4SHxPEcRJTbdbeVvsHA","Dom Rodzinny Klaudii","home"
"ChIJC7EVXWkzGUcRep3-TKxym0E","Carrefour","shopping"
"ChIJCa_r4Q_LHkcRtI1qxhpQPEU","Kino Wola Park","entertainment"
"ChIJCzYm5OXMHkcRaQAxHmWQ8Z0","Plan B","restaurants"
"ChIJD9StvOjMHkcRvSFaLhn0Qb4","stop3","transport"
"ChIJDVkhKfTMHkcRVqqUTDuj2uE","In Side","restaurants"
"ChIJDZo4OVEtGkcRkbHcdWqcmho","Oskroba","shopping"
"ChIJDyk0IRjMHkcR_vtAJ-wrJro","Bazar Namysłowska","shopping"
"ChIJEWlPLCvKHkcR8tvl1TEty8M","Las bielański","entertainment"
"ChIJEX6U780rGUcR2OWIUA1J4Nc","McDonald","restaurants"
"ChIJEZoZbZgtGUcR33xqnX7JPlI","Mieszkanie Klaudii","home"
