Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2024-12-10 22:21:00;Evening Workout;Bench Press (Dumbbell);1;22;kg;10;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Bench Press (Dumbbell);2;32;kg;10;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Bench Press (Dumbbell);3;34,5;kg;7;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Bench Press (Dumbbell);4;32;kg;9;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Chest Fly (Band);1;30;kg;10;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Chest Fly (Band);2;30;kg;10;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Chest Fly (Band);3;30;kg;8;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Incline Bench Press (Dumbbell);1;27;kg;10;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Incline Bench Press (Dumbbell);2;24,5;kg;7;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Incline Bench Press (Dumbbell);3;22;kg;10;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Incline Bench Press (Dumbbell);4;22;kg;7;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Bench Press (Dumbbell);1;16;kg;8;;;;0;Reversed ;;51m
2024-12-10 22:21:00;Evening Workout;Bench Press (Dumbbell);2;16;kg;10;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Bench Press (Dumbbell);3;16;kg;8;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Triceps Pushdown (Cable - Straight Bar);1;25;kg;4;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Triceps Pushdown (Cable - Straight Bar);2;20;kg;5;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Triceps Pushdown (Cable - Straight Bar);3;15;kg;7;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Triceps Pushdown (Cable - Straight Bar);4;10;kg;10;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Triceps Pushdown (Cable - Straight Bar);5;5;kg;30;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Triceps Pushdown (Cable - Straight Bar);6;20;kg;4;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Triceps Pushdown (Cable - Straight Bar);7;15;kg;7;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Triceps Pushdown (Cable - Straight Bar);8;10;kg;13;;;;0;;;51m
2024-12-10 22:21:00;Evening Workout;Triceps Pushdown (Cable - Straight Bar);9;5;kg;30;;;;0;;;51m
2024-12-12 20:48:00;Evening Workout;Seated Row (Machine);1;50;kg;10;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Seated Row (Machine);2;60;kg;10;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Seated Row (Machine);3;60;kg;10;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Seated Row (Machine);4;60;kg;10;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Seated Row (Machine);5;70;kg;9;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Good Morning (Barbell);1;20;kg;10;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Good Morning (Barbell);2;50;kg;10;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Good Morning (Barbell);3;50;kg;10;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Good Morning (Barbell);4;50;kg;10;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Iso-Lateral Row (Machine);1;40;kg;10;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Iso-Lateral Row (Machine);2;60;kg;10;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Iso-Lateral Row (Machine);3;60;kg;10;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Iso-Lateral Row (Machine);4;60;kg;10;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Reverse Fly (Dumbbell);1;6;kg;11;;;;0;;;1h 39m
2024-12-12 20:48:00;Evening Workout;Reverse Fly (Dumbbell);2;6;kg;10;;;;0;;;1h 39m
