Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2023-10-12 13:24:24;"Chest and Triceps";"Bench Press (Barbell)";1;20;kg;12;;;;0;"";"";47m
2023-10-12 13:24:24;"Chest and Triceps";"Bench Press (Barbell)";2;40;kg;10;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Bench Press (Barbell)";3;40;kg;10;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Bench Press (Barbell)";4;40;kg;7;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Bench Press (Barbell)";5;40;kg;8;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Incline Bench Press (Dumbbell)";1;11;kg;12;;;;0;"";;47m
2023-10-12 13:24:24;"Chest and Triceps";"Incline Bench Press (Dumbbell)";2;16;kg;12;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Incline Bench Press (Dumbbell)";3;16;kg;12;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Incline Bench Press (Dumbbell)";4;16;kg;12;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Chest Dip";1;;;8;;;;0;"";;47m
2023-10-12 13:24:24;"Chest and Triceps";"Chest Dip";2;;;8;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Chest Dip";3;;;8;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Push Up";1;;;10;;;;0;"";;47m
2023-10-12 13:24:24;"Chest and Triceps";"Push Up";2;;;10;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Push Up";3;;;10;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Triceps Extension";1;20;kg;12;;;;0;"";;47m
2023-10-12 13:24:24;"Chest and Triceps";"Triceps Extension";2;20;kg;12;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Triceps Extension";3;20;kg;12;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Triceps Extension";4;20;kg;12;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Triceps Extension (Cable)";1;10;kg;12;;;;0;"";;47m
2023-10-12 13:24:24;"Chest and Triceps";"Triceps Extension (Cable)";2;10;kg;12;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Triceps Extension (Cable)";3;10;kg;12;;;;0;;;47m
2023-10-12 13:24:24;"Chest and Triceps";"Triceps Extension (Cable)";4;10;kg;15;;;;0;;;47m
2023-10-14 13:56:03;"Back and Biceps";"Pull Up";1;;;10;;;;0;"";"";56m
2023-10-14 13:56:03;"Back and Biceps";"Pull Up";2;;;10;;;;0;;;56m
2023-10-14 13:56:03;"Back and Biceps";"Pull Up";3;;;8;;;;0;;;56m
2023-10-14 13:56:03;"Back and Biceps";"Pull Up";4;;;8;;;;0;;;56m
2023-10-14 13:56:03;"Back and Biceps";"Seated Row (Cable)";1;30;kg;12;;;;0;"";;56m
2023-10-14 13:56:03;"Back and Biceps";"Seated Row (Cable)";2;30;kg;12;;;;0;;;56m
2023-10-14 13:56:03;"Back and Biceps";"Seated Row (Cable)";3;30;kg;12;;;;0;;;56m
2023-10-14 13:56:03;"Back and Biceps";"Seated Row (Cable)";4;30;kg;12;;;;0;;;56m
2023-10-14 13:56:03;"Back and Biceps";"Lat Pulldown (Cable)";1;30;kg;12;;;;0;"";;56m
2023-10-14 13:56:03;"Back and Biceps";"Lat Pulldown (Cable)";2;30;kg;12;;;;0;;;56m
2023-10-14 13:56:03;"Back and Biceps";"Lat Pulldown (Cable)";3;40;kg;12;;;;0;;;56m
