Exercise,Body Part
Bench Press (Dumbbell),Chest
Chest Fly (Band),Chest
Incline Bench Press (Dumbbell),Chest
Triceps Pushdown (Cable - Straight Bar),Arms
Lat Pulldown (Cable),Back
Seated Row (Machine),Back
Good Morning (Barbell),Back
Iso-Lateral Row (Machine),Back
Reverse Fly (Dumbbell),Shoulders
Bicep Curl (Cable),Arms
Bicep Curl (Dumbbell),Arms
Hammer Curl (Dumbbell),Arms
Cable Kickback,Arms
Triceps Extension (Cable),Arms
Wrist Roller,Arms
Chin Up,Back
Triceps Dip,Arms
Seated Overhead Press (Dumbbell),Shoulders
Lateral Raise (Dumbbell),Shoulders
Leg Extension (Machine),Legs
Incline Bench Press (Barbell),Chest
Back Extension,Back
Shoulder Press (Machine),Shoulders
Zercher Squat (Barbell),Legs
Squat (Barbell),Legs
Bench Press (Barbell),Chest
Pull Up,Back
Bicep Curl (Barbell),Arms
Concentration Curl (Dumbbell),Arms
Standing Calf Raise (Barbell),Legs
Deadlift (Barbell),Back
Deficit Deadlift (Barbell),Back
Chest Fly,Chest
Triceps Extension,Arms
Seated Row (Cable),Back
Seated Palms Up Wrist Curl (Dumbbell),Arms
Push Up,Chest
Reverse Grip Concentration Curl (Dumbbell),Arms
Lying Leg Curl (Machine),Legs
Leg Press,Legs
Bent Over Row (Barbell),Back
Lateral Raise (Cable),Shoulders
Hip Abductor (Machine),Legs
Romanian Deadlift (Dumbbell),Legs
Pistol Squat,Legs
Ab Wheel,Core
Standing Calf Raise (Bodyweight),Legs
Plank,Core
Chest Dip,Chest
Crunch,Core
Squat (Bodyweight),Legs
Glute Ham Raise,Legs
Lat Pulldown (Single Arm),Back
Standing Calf Raise,Legs
Standing Calf Raise (Dumbbell),Legs
Jump Squat,Legs
Incline Chest Fly (Dumbbell),Chest
Reverse Crunch,Core
Flat Knee Raise,Core
Flat Leg Raise,Core
Russian Twist,Core
Ludwik's abdominal oblique muscles,Core
Decline Crunch (With resistance band),Core
Decline Crunch,Core

