DATA,WODA,HERBATA,KAWA,INNE
06.12.2024,2.8,0.3,0.3,0.8
07.12.2024,2.5,0.5,0,1
08.12.2024,2,0.5,0,1
09.12.2024,2.5,0.5,0.5,1
10.12.2024,2,1.5,0.3,0.3
11.12.2024,2,1,0.3,0.5
12.12.2024,2.5,1,0,0.5
13.12.2024,2,1,0.3,1
14.12.2024,2.5,1,0.3,1
15.12.2024,2,0.5,0.5,0.5
16.12.2024,1.8,0.3,0,0
17.12.2024,2.5,0.5,0,1
18.12.2024,2,1,0.3,0.3
19.12.2024,2.5,0.3,0.5,1
20.12.2024,1.5,0.3,0.5,1
21.12.2024,2.2,0.75,0.3,0.5
22.12.2024,2.3,0.5,0.5,0.3
23.12.2024,2.5,0.3,0.5,1
24.12.2024,1.8,0.3,0.3,0.5
25.12.2024,2,0.75,0.5,1
26.12.2024,2.3,1,0,0.5
27.12.2024,1,1,0,0.3
28.12.2024,2.3,1,0.3,0.3
29.12.2024,1.8,0.75,0.3,1
30.12.2024,2.3,0.5,0.3,1
31.12.2024,2,0.75,0,0.5
01.01.2025,2.4,1,0.3,1
02.01.2025,3,0,0,1
03.01.2025,2.3,0.25,0.5,1.3
04.01.2025,1.5,1,0.3,1
05.01.2025,2,1.5,0.3,0
06.01.2025,2,0.5,0,0
07.01.2025,2,1,0.3,0
08.01.2025,2.5,1.5,0.6,0.5
09.01.2025,2,1,0.6,0.3
10.01.2025,2.5,0.5,0.6,0.5
11.01.2025,2,0.8,0.6,0
12.01.2025,2.8,1,0.2,0
13.01.2025,1.5,0.5,0,0
14.01.2025,2.5,0.5,0.6,0.3
15.01.2025,2.5,0.5,0.9,0.5
16.01.2025,2,1.5,0.3,0.7
17.01.2025,3,1.5,0.6,1
18.01.2025,3,1,0.6,0.5
19.01.2025,2.5,1,0.3,0
20.01.2025,2,1.5,0.6,0
21.01.2025,2.5,1.5,0.6,0
