data,aktywnosc,przedmiot,czas_total_min
5.12.2024,sen,,360
5.12.2024,dojazdy_na_uczelnie,,50
5.12.2024,zajecia_na_uczelni,RP,90
5.12.2024,zajecia_na_uczelni,jezyki,90
5.12.2024,zajecia_na_uczelni,MN,90
5.12.2024,zajecia_na_uczelni,TWD,135
5.12.2024,przerwy_na_uczelni,,135
5.12.2024,nauka,jezyki,15
5.12.2024,nauka,MN,90
5.12.2024,nauka,TWD,80
5.12.2024,dojazdy_na_uczelnie,,50
5.12.2024,czas_z_rodzina,,20
6.12.2024,sen,,420
6.12.2024,dojazdy_na_uczelnie,,50
6.12.2024,nauka,ZPOiF,220
6.12.2024,zajecia_na_uczelni,RP,90
6.12.2024,zajecia_na_uczelni,MN,45
6.12.2024,nauka,MN,30
6.12.2024,przerwy_na_uczelni,,180
6.12.2024,dojazdy_na_uczelnie,,60
6.12.2024,odpoczynek_rozrywka,,20
6.12.2024,hobby,,60
7.12.2024,sen,,530
7.12.2024,hobby,,60
7.12.2024,nauka,TWD,260
7.12.2024,odpoczynek_rozrywka,,20
7.12.2024,czas_z_rodzina,,150
7.12.2024,sport,,80
7.12.2024,nauka,MN,100
8.12.2024,sen,,480
8.12.2024,nauka,MN,190
8.12.2024,odpoczynek_rozrywka,,90
8.12.2024,nauka,jezyki,10
8.12.2024,czas_z_rodzina,,100
8.12.2024,hobby,,70
8.12.2024,nauka,Fizyka,100
9.12.2024,sen,,460
9.12.2024,hobby,,80
9.12.2024,nauka,RP,20
9.12.2024,nauka,TWD,160
9.12.2024,czas_z_rodzina,,20
9.12.2024,nauka,jezyki,10
9.12.2024,odpoczynek_rozrywka,,80
9.12.2024,nauka,Fizyka,30
9.12.2024,nauka,MN,70
10.12.2024,sen,,420
10.12.2024,dojazdy_na_uczelnie,,45
10.12.2024,nauka,MN,30
10.12.2024,nauka,jezyki,15
10.12.2024,nauka,RP,60
10.12.2024,dojazdy_na_uczelnie,,55
10.12.2024,zajecia_na_uczelni,ASD,180
10.12.2024,zajecia_na_uczelni,jezyki,90
10.12.2024,przerwy_na_uczelni,,100
10.12.2024,odpoczynek_rozrywka,,30
10.12.2024,nauka,Fizyka,50
11.12.2024,sen,,510
11.12.2024,nauka,Fizyka,30
11.12.2024,odpoczynek_rozrywka,,70
11.12.2024,hobby,,30
11.12.2024,dojazdy_na_uczelnie,,50
11.12.2024,sport,,90
11.12.2024,przerwy_na_uczelni,,40
11.12.2024,zajecia_na_uczelni,Fizyka,30
11.12.2024,dojazdy_na_uczelnie,,60
11.12.2024,czas_z_rodzina,,60
11.12.2024,nauka,MN,10
11.12.2024,odpoczynek_rozrywka,,30
12.12.2024,sen,,510
12.12.2024,dojazdy_na_uczelnie,,50
12.12.2024,zajecia_na_uczelni,jezyki,90
12.12.2024,nauka,MN,60
12.12.2024,zajecia_na_uczelni,MN,90
12.12.2024,zajecia_na_uczelni,TWD,90
12.12.2024,przerwy_na_uczelni,,130
12.12.2024,dojazdy_na_uczelnie,,90
12.12.2024,czas_z_rodzina,,20
12.12.2024,odpoczynek_rozrywka,,20
12.12.2024,nauka,RP,25
12.12.2024,hobby,,50
13.12.2024,sen,,490
13.12.2024,czas_z_rodzina,,40
13.12.2024,nauka,RP,40
13.12.2024,dojazdy_na_uczelnie,,40
13.12.2024,zajecia_na_uczelni,RP,90
13.12.2024,spotkania_towarzyskie,,70
13.12.2024,przerwy_na_uczelni,,20
13.12.2024,nauka,MN,70
13.12.2024,zajecia_na_uczelni,MN,30
13.12.2024,dojazdy_na_uczelnie,,50
13.12.2024,hobby,,120
13.12.2024,czas_z_rodzina,,20
14.12.2024,sen,,540
14.12.2024,czas_z_rodzina,,60
14.12.2024,hobby,,80
14.12.2024,czas_z_rodzina,,300
14.12.2024,hobby,,100
15.12.2024,sen,,550
15.12.2024,hobby,,60
15.12.2024,nauka,MN,30
15.12.2024,hobby,,100
15.12.2024,nauka,MN,300
15.12.2024,czas_z_rodzina,,90
15.12.2024,nauka,ZPOiF,40
16.12.2024,sen,,490
16.12.2024,hobby,,30
16.12.2024,nauka,MN,220
16.12.2024,odpoczynek_rozrywka,,20
16.12.2024,sport,,90
16.12.2024,czas_z_rodzina,,60
16.12.2024,hobby,,20
17.12.2024,sen,,430
17.12.2024,czas_z_rodzina,,20
17.12.2024,hobby,,20
17.12.2024,dojazdy_na_uczelnie,,45
17.12.2024,zajecia_na_uczelni,ASD,180
17.12.2024,zajecia_na_uczelni,jezyki,90
17.12.2024,zajecia_na_uczelni,MN,90
17.12.2024,przerwy_na_uczelni,,95
17.12.2024,dojazdy_na_uczelnie,,50
17.12.2024,spotkania_towarzyskie,,30
17.12.2024,odpoczynek_rozrywka,,20
17.12.2024,nauka,MN,40
17.12.2024,czas_z_rodzina,,75
17.12.2024,hobby,,50
18.12.2024,sen,,520
18.12.2024,hobby,,40
18.12.2024,nauka,RP,15
18.12.2024,hobby,,90
18.12.2024,czas_z_rodzina,,15
18.12.2024,dojazdy_na_uczelnie,,50
18.12.2024,zajecia_na_uczelni,,60
18.12.2024,sport,,30
18.12.2024,przerwy_na_uczelni,,20
18.12.2024,nauka,TWD,60
18.12.2024,spotkania_towarzyskie,,30
18.12.2024,dojazdy_na_uczelnie,,60
18.12.2024,hobby,,100
18.12.2024,odpoczynek_rozrywka,,20
18.12.2024,czas_z_rodzina,,15
18.12.2024,odpoczynek_rozrywka,,15
18.12.2024,nauka,MN,40
19.12.2024,sen,,390
19.12.2024,dojazdy_na_uczelnie,,50
19.12.2024,zajecia_na_uczelni,RP,90
19.12.2024,zajecia_na_uczelni,jezyki,90
19.12.2024,zajecia_na_uczelni,TWD,135
19.12.2024,zajecia_na_uczelni,MN,90
19.12.2024,przerwy_na_uczelni,,115
19.12.2024,nauka,ZPOiF,100
19.12.2024,dojazdy_na_uczelnie,,50
19.12.2024,nauka,MN,40
19.12.2024,odpoczynek_rozrywka,,30
19.12.2024,czas_z_rodzina,,80
19.12.2024,hobby,,45
20.12.2024,sen,,460
20.12.2024,dojazdy_na_uczelnie,,40
20.12.2024,zajecia_na_uczelni,RP,90
20.12.2024,zajecia_na_uczelni,MN,30
20.12.2024,nauka,MN,30
20.12.2024,nauka,ZPOiF,180
20.12.2024,spotkania_towarzyskie,,120
20.12.2024,przerwy_na_uczelni,,60
20.12.2024,dojazdy_na_uczelnie,,50
20.12.2024,hobby,,50
20.12.2024,czas_z_rodzina,,20
20.12.2024,hobby,,15
20.12.2024,odpoczynek_rozrywka,,20
21.12.2024,sen,,520
21.12.2024,czas_z_rodzina,,120
21.12.2024,hobby,,40
21.12.2024,nauka,MN,130
21.12.2024,nauka,TWD,40
21.12.2024,spotkania_towarzyskie,,330
22.12.2024,sen,,440
22.12.2024,czas_z_rodzina,,320
22.12.2024,nauka,TWD,220
22.12.2024,hobby,,150
22.12.2024,spotkania_towarzyskie,,50
23.12.2024,sen,,530
23.12.2024,nauka,TWD,200
23.12.2024,odpoczynek_rozrywka,,30
23.12.2024,hobby,,140
23.12.2024,czas_z_rodzina,,120
24.12.2024,sen,,480
24.12.2024,hobby,,30
24.12.2024,czas_z_rodzina,,600
25.12.2024,sen,,520
25.12.2024,sport,,60
25.12.2024,czas_z_rodzina,,750
26.12.2024,sen,,520
26.12.2024,hobby,,180
26.12.2024,czas_z_rodzina,,650
27.12.2024,sen,,530
27.12.2024,czas_z_rodzina,,650
27.12.2024,hobby,,90
28.12.2024,sen,,560
28.12.2024,czas_z_rodzina,,60
28.12.2024,hobby,,20
28.12.2024,nauka,TWD,90
28.12.2024,nauka,MN,70
28.12.2024,odpoczynek_rozrywka,,40
28.12.2024,czas_z_rodzina,,300
28.12.2024,hobby,,60
28.12.2024,spotkania_towarzyskie,,30
29.12.2024,sen,,500
29.12.2024,czas_z_rodzina,,80
29.12.2024,hobby,,30
29.12.2024,nauka,ZPOiF,150
29.12.2024,hobby,,150
29.12.2024,czas_z_rodzina,,130
29.12.2024,spotkania_towarzyskie,,60
30.12.2024,sen,,520
30.12.2024,czas_z_rodzina,,100
30.12.2024,hobby,,300
30.12.2024,sport,,60
31.12.2024,sen,,560
31.12.2024,hobby,,60
31.12.2024,czas_z_rodzina,,120
31.12.2024,spotkania_towarzyskie,,540
1.01.2025,sen,,240
1.01.2025,spotkania_towarzyskie,,120
1.01.2025,hobby,,230
1.01.2025,odpoczynek_rozrywka,,20
1.01.2025,czas_z_rodzina,,40
2.01.2025,sen,,500
2.01.2025,hobby,,80
2.01.2025,dojazdy_na_uczelnie,,50
2.01.2025,zajecia_na_uczelni,jezyki,90
2.01.2025,zajecia_na_uczelni,MN,20
2.01.2025,zajecia_na_uczelni,TWD,130
2.01.2025,nauka,ZPOiF,220
2.01.2025,przerwy_na_uczelni,,60
2.01.2025,dojazdy_na_uczelnie,,50
2.01.2025,czas_z_rodzina,,30
2.01.2025,nauka,jezyki,5
2.01.2025,hobby,,50
3.01.2025,sen,,500
3.01.2025,hobby,,70
3.01.2025,dojazdy_na_uczelnie,,40
3.01.2025,zajecia_na_uczelni,RP,90
3.01.2025,zajecia_na_uczelni,MN,45
3.01.2025,nauka,TWD,140
3.01.2025,nauka,MN,20
3.01.2025,przerwy_na_uczelni,,30
3.01.2025,dojazdy_na_uczelnie,,60
3.01.2025,spotkania_towarzyskie,,400
3.01.2025,hobby,,40
4.01.2025,sen,,380
4.01.2025,spotkania_towarzyskie,,540
4.01.2025,hobby,,200
4.01.2025,nauka,MN,70
4.01.2025,czas_z_rodzina,,40
5.01.2025,sen,,500
5.01.2025,hobby,,200
5.01.2025,odpoczynek_rozrywka,,50
5.01.2025,nauka,TWD,170
5.01.2025,czas_z_rodzina,,60
6.01.2025,sen,,540
6.01.2025,czas_z_rodzina,,330
6.01.2025,hobby,,150
6.01.2025,nauka,TWD,130
6.01.2025,hobby,,120
7.01.2025,sen,,400
7.01.2025,dojazdy_na_uczelnie,,50
7.01.2025,czas_z_rodzina,,30
7.01.2025,zajecia_na_uczelni,ASD,140
7.01.2025,spotkania_towarzyskie,,30
7.01.2025,przerwy_na_uczelni,,70
7.01.2025,zajecia_na_uczelni,jezyki,90
7.01.2025,nauka,MN,100
