;2024-12-08;2024-12-09;2024-12-10;2024-12-11;2024-12-12;2024-12-13;2024-12-14;2024-12-15;2024-12-16;2024-12-17;2024-12-18;2024-12-19;2024-12-20;2024-12-21;2024-12-22;2024-12-23;2024-12-24;2024-12-25;2024-12-26;2024-12-27;2024-12-28;2024-12-29;2024-12-30;2024-12-31;2025-01-01;2025-01-02;2025-01-03;2025-01-04;2025-01-05;2025-01-06;2025-01-07;2025-01-08;2025-01-09;2025-01-10;2025-01-11
Duolingo;00:37:26;00:28:34;00:34:18;00:04:58;00:39:34;00:09:42;00:04:57;00:00:57;00:10:29;00:07:35;00:08:03;00:38:52;00:55:59;00:58:24;00:12:23;00:10:35;00:10:05;00:14:33;00:04:28;00:14:33;00:12:25;00:25:35;00:11:19;00:06:49;00:06:15;00:08:16;00:16:46;00:02:35;00:16:01;00:07:57;00:03:21;00:04:54;00:04:28;00:04:44;00:04:20
Messenger;00:27:30;00:19:07;00:32:41;00:39:15;00:26:42;00:53:42;00:13:56;00:21:35;00:14:17;00:21:44;01:08:00;00:07:22;01:34:00;30:30:00;00:23:58;00:49:45;00:37:08;00:16:37;01:11:39;00:54:34;01:02:42;01:43:20;01:10:59;00:50:01;00:22:39;00:22:42;00:48:33;01:12:52;00:13:09;00:10:42;00:48:25;00:29:47;00:10:42;00:02:49;00:30:28
Google;02:06:31;03:55:52;01:05:53;00:57:45;00:35:08;02:12:05;01:18:42;02:06:08;01:20:16;00:40:54;01:00:33;00:37:52;01:33:10;02:02:09;01:32:25;01:48:08;00:45:54;00:14:59;01:30:01;04:22:13;05:08:14;01:21:55;00:54:00;01:29:52;01:34:18;01:57:00;01:28:00;02:36:46;01:23:52;00:33:17;01:24:53;00:49:54;00:28:30;01:40:03;00:11:36
Facebook;00:00:34;00:18:34;00:00:00;00:00:00;00:00:57;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:05:58;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:26;00:00:27;00:05:30;00:00:00;00:00:00;00:03:02;00:00:00;00:00:00;00:00:00;00:00:00;00:52:48
Mobile USOS PW;00:00:00;00:00:00;00:00:00;00:00:00;00:00:04;00:00:11;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:01:56;00:00:00;00:00:00;00:00:43;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:15;00:05:08;00:00:00;00:00:19;00:00:00;00:00:00;00:00:09;00:54:00;00:01:19;00:00:00;00:00:00
Teams;00:03:38;00:00:00;00:00:49;00:00:00;00:05:33;00:01:12;00:00:00;00:00:00;00:00:40;00:00:00;00:00:00;00:16:33;00:43:00;00:00:00;00:21:45;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:02:26;00:00:00;00:10:31;00:00:00;00:00:06;00:00:18;00:22:43;00:09:29;00:00:00;00:00:00;00:00:01;00:00:00;00:11:49;00:00:28;00:00:00
X;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:49;00:00:01;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:43;00:31:48;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
WhatsApp;00:00:47;00:01:04;01:19:36;00:00:05;00:00:04;00:01:11;00:00:43;00:00:00;00:00:00;01:01:38;00:00:00;00:00:11;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:01:39;00:00:00;00:00:00;00:00:00;00:01:57;00:01:42;00:00:00;00:00:00;00:00:00;00:01:17;00:01:03;00:02:29;01:10:09;00:00:00;00:01:07;00:01:47;00:00:00
Mapy;00:00:00;00:02:45;00:00:51;00:00:51;00:00:10;00:00:00;00:00:00;00:00:35;00:00:00;00:00:15;00:05:01;00:01:40;00:00:53;00:00:00;00:00:16;00:03:27;00:00:31;00:00:00;00:02:57;00:00:00;00:00:00;00:00:12;00:03:20;00:02:06;00:00:00;00:00:00;00:00:00;00:01:39;00:16:30;00:00:00;00:00:00;00:04:40;00:00:00;00:00:34;00:05:49
Phone ;00:09:13;00:20:06;00:10:12;00:05:32;00:00:20;00:34:26;00:17:32;00:21:30;00:07:43;00:02:37;00:12:43;00:01:10;00:00:00;00:02:29;00:02:04;00:15:56;00:07:30;00:00:00;00:00:00;00:11:39;00:03:36;00:00:00;01:16:13;01:06:27;00:00:32;00:00:34;00:00:40;00:05:13;00:06:18;00:17:56;00:00:57;00:14:05;00:00:45;00:00:00;00:10:26
Simple Time Tracker;00:05:20;00:00:00;00:00:00;00:24:35;00:01:21;00:18:45;00:00:00;00:00:00;00:23:29;00:42:21;00:00:00;00:28:09;00:13:28;00:00:00;00:00:00;00:00:00;00:09:52;00:23:08;00:00:00;00:11:57;00:00:00;00:00:01;00:00:00;00:00:00;00:15:52;00:24:14;00:18:54;00:02:41;00:08:18;00:54:08;00:00:00;00:00:00;00:00:00;00:00:00;00:08:25
Total time;03:44:48;05:55:00;02:20:57;02:21:57;02:13:16;04:32:53;02:16:43;03:02:04;02:35:13;03:22:00;02:57:45;02:34:28;05:21:59;03:48:16;03:02:33;03:38:17;02:18:01;02:01:06;02:54:27;06:06:01;06:00:43;03:41:38;04:13:52;03:53:12;02:27:36;01:51:27;03:39:12;04:09:31;02:52:43;03:05:38;03:47:22;01:56:13;01:09:25;02:49:30;02:21:37
Unlocked;108;108;105;78;72;80;54;96;56;79;89;52;80;72;50;53;98;48;56;67;62;63;95;132;46;67;113;87;80;48;59;92;52;78;75
Notifications;96;165;167;148;97;121;119;132;120;164;147;98;124;101;88;111;136;62;86;110;129;136;193;143;112;111;129;167;99;79;136;148;94;108;107
