;2024-12-08;2024-12-09;2024-12-10;2024-12-11;2024-12-12;2024-12-13;2024-12-14;2024-12-15;2024-12-16;2024-12-17;2024-12-18;2024-12-19;2024-12-20;2024-12-21;2024-12-22;2024-12-23;2024-12-24;2024-12-25;2024-12-26;2024-12-27;2024-12-28;2024-12-29;2024-12-30;2024-12-31;2025-01-01;2025-01-02;2025-01-03;2025-01-04;2025-01-05;2025-01-06;2025-01-07;2025-01-08;2025-01-09;2025-01-10;2025-01-11
Duolingo;00:19:00;00:49:00;00:50:00;00:20:00;00:23:00;00:48:00;00:23:00;00:18:00;00:43:00;00:37:00;00:51:00;00:34:00;00:35:00;00:36:00;00:46:00;00:56:00;00:17:00;00:23:00;01:00:00;00:25:00;00:44:00;01:15:00;01:08:00;00:08:00;00:19:00;00:58:00;00:51:00;00:12:00;00:06:00;00:05:00;00:03:00;00:22:00;00:07:00;00:08:00;00:35:00
Messenger;00:26:00;00:15:00;00:39:00;01:57:00;00:38:00;00:43:00;00:33:00;00:38:00;00:39:00;01:07:00;01:02:00;00:44:00;00:15:00;00:23:00;00:24:00;00:46:00;00:28:00;00:22:00;00:15:00;00:21:00;00:00:00;00:01:00;00:04:00;00:09:00;00:32:00;00:56:00;01:45:00;01:33:00;01:49:00;01:07:00;02:00:00;00:18:00;01:10:00;00:47:00;00:11:00
Google;00:20:00;00:08:00;00:12:00;00:51:00;00:13:00;00:13:00;00:13:00;00:04:00;00:04:00;00:59:00;00:04:00;00:18:00;00:08:00;00:10:00;00:51:00;00:16:00;00:23:00;00:17:00;00:15:00;00:06:00;00:01:00;00:09:00;00:05:00;00:01:00;00:06:00;00:20:00;00:02:00;00:22:00;00:59:00;00:02:00;00:27:00;00:12:00;00:12:00;00:04:00;00:06:00
Facebook;00:02:00;00:02:00;00:13:00;00:10:00;00:06:00;00:01:00;00:01:00;00:05:00;00:01:00;00:01:00;00:06:00;00:03:00;00:05:00;00:02:00;00:16:00;00:18:00;00:06:00;00:18:00;00:05:00;00:06:00;00:00:00;00:02:00;00:04:00;00:04:00;00:01:00;00:02:00;00:02:00;00:19:00;00:17:00;00:06:00;00:02:00;00:01:00;00:01:00;00:02:00;00:03:00
Mobile USOS PW;00:04:00;00:04:00;00:05:00;00:11:00;00:04:00;00:03:00;00:00:00;00:02:00;00:02:00;00:04:00;00:00:00;00:05:00;00:01:00;00:01:00;00:01:00;00:03:00;00:00:00;00:00:00;00:00:00;00:00:00;00:01:00;00:01:00;00:01:00;00:00:00;00:00:00;00:00:00;00:00:00;00:02:00;00:01:00;00:00:00;00:00:00;00:00:00;00:01:00;00:00:00;00:00:00
Teams;00:18:00;00:04:00;00:11:00;00:01:00;00:00:00;00:25:00;00:00:00;00:01:00;00:08:00;00:00:00;00:01:00;00:58:00;00:50:00;00:00:00;00:00:00;00:08:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:02:00;00:01:00;00:00:00;00:02:00;00:02:00;00:08:00;00:00:00;00:00:00;00:00:00;00:00:00;00:03:00;00:03:00;00:00:00
X;00:30:00;00:19:00;01:08:00;01:05:00;00:41:00;00:28:00;00:15:00;00:15:00;00:19:00;00:57:00;00:39:00;00:37:00;00:31:00;00:34:00;00:55:00;00:52:00;00:53:00;01:03:00;00:58:00;00:40:00;00:37:00;00:55:00;00:41:00;00:37:00;00:50:00;01:05:00;00:57:00;01:12:00;01:12:00;01:40:00;00:28:00;00:37:00;00:40:00;00:42:00;00:17:00
YouTube;00:22:00;00:14:00;00:29:00;00:35:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:59:00;00:00:00;00:00:00;00:11:00;00:22:00;00:05:00;00:00:00;00:41:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:25:00;00:00:00;00:11:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
Mapy;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:01:00;00:00:00;00:00:00;00:01:00;00:05:00;00:07:00;00:01:00;00:02:00;00:00:00;00:02:00;00:00:00;00:00:00;00:00:00;00:00:00;00:02:00;00:00:00;00:01:00;00:05:00;00:00:00;00:01:00;00:00:00;00:00:00;00:00:00;00:10:00;00:00:00;00:04:00;00:00:00;00:00:00;00:00:00
