Date,Messenger,Chrome,Spotify,Youtube
2024-12-16,00:12:00,00:11:00,00:05:00,01:35:00
2024-12-17,00:08:00,00:20:00,00:10:00,00:20:00
2024-12-18,00:05:00,00:06:00,00:00:00,00:39:00
2024-12-19,00:23:00,00:04:00,00:00:00,00:37:00
2024-12-20,00:27:00,00:12:00,00:00:00,00:05:00
2024-12-21,00:05:00,00:17:00,00:00:00,00:20:00
2024-12-22,00:06:00,00:02:00,00:01:00,01:20:00
2024-12-23,00:09:00,00:13:00,00:05:00,00:52:00
2024-12-24,00:10:00,00:29:00,00:03:00,01:47:00
2024-12-25,00:06:00,00:09:00,00:08:00,00:08:00
2024-12-26,00:07:00,00:11:00,00:00:00,01:04:00
2024-12-27,00:02:00,00:07:00,00:20:00,00:14:00
2024-12-28,00:14:00,00:13:00,00:07:00,00:53:00
2024-12-29,00:12:00,00:00:00,00:00:00,01:47:00
2024-12-30,00:19:00,00:08:00,00:14:00,00:32:00
2025-01-31,00:12:00,00:02:00,00:09:00,00:39:00
2025-01-01,00:31:00,00:06:00,00:02:00,00:04:00
2025-01-02,00:15:00,00:28:00,00:00:00,00:02:00
2025-01-03,00:05:00,00:07:00,00:06:00,00:00:00
2025-01-04,00:02:00,00:17:00,00:07:00,00:00:00
2025-01-05,00:04:00,00:06:00,00:00:00,00:00:00
2025-01-06,00:11:00,00:00:00,00:00:00,00:00:00
2025-01-07,00:09:00,00:10:00,00:08:00,00:00:00
2025-01-08,00:17:00,00:06:00,00:11:00,00:01:00
2025-01-09,00:10:00,00:31:00,00:15:00,00:29:00
2025-01-10,00:08:00,00:11:00,00:09:00,00:26:00
2025-01-11,00:05:00,00:12:00,00:09:00,00:32:00
2025-01-12,00:04:00,00:09:00,00:00:00,00:33:00
